recipient_iso3,total_killings,mean_killings,total_pred,mean_pred,mean_residual,mean_p_any,colonial_tie,n_years
KWT,1,0.03125,1.2919664164715008,0.0403739505147344,-0.009123950514734401,0.020807115243579984,1,32
ARM,1,0.03125,1.2221438434747784,0.038191995108586826,-0.006941995108586823,0.031237916086241685,0,32
SGP,0,0.0,1.8677911947170918,0.05836847483490912,-0.05836847483490912,0.02661522625469228,1,32
COM,0,0.0,0.5751857306098648,0.017974554081558274,-0.017974554081558274,0.015571049243411992,1,32
TCA,0,0.0,0.04039023700601368,0.005770033858001954,-0.005770033858001954,0.002435777139404703,0,7
CPV,0,0.0,1.0703593152974462,0.033448728603045194,-0.033448728603045194,0.020874109589035596,1,32
SYC,0,0.0,0.24055958406608788,0.008909614224669921,-0.008909614224669921,0.006113475279497452,1,27
SWZ,0,0.0,0.9759374042994465,0.030498043884357704,-0.030498043884357704,0.021681552866817725,1,32
SWE,0,0.0,3.722992203766785,0.12009652270215435,-0.12009652270215435,0.03880031687289718,0,31
SVN,0,0.0,0.9971995202462753,0.04532725092028524,-0.04532725092028524,0.021149898614325605,0,22
DMA,0,0.0,0.18370365640559783,0.005740739262674932,-0.005740739262674932,0.004746379357012003,1,32
SLB,0,0.0,1.0238162898878633,0.03199425905899573,-0.03199425905899573,0.02086773110852313,1,32
SUR,0,0.0,0.9124828683719067,0.028515089636622085,-0.028515089636622085,0.018377854386159777,1,32
STP,0,0.0,0.23623347121237304,0.007382295975386657,-0.007382295975386657,0.007127412175925064,1,32
TGO,0,0.0,2.150347848228486,0.06719837025714019,-0.06719837025714019,0.050745219158559195,1,32
CZE,0,0.0,2.667944012721052,0.10671776050884209,-0.10671776050884209,0.0394171692807577,0,25
SEN,0,0.0,7.945031397653217,0.24828223117666304,-0.24828223117666304,0.13106509910023056,1,32
DEU,0,0.0,10.874316320761583,0.33982238502379947,-0.33982238502379947,0.10235647728012173,0,32
DJI,0,0.0,1.2634280040366226,0.039482125126144456,-0.039482125126144456,0.027492941334805697,1,32
CUB,0,0.0,5.511440129983149,0.19683714749939818,-0.19683714749939818,0.0933046538798882,1,28
LCA,0,0.0,0.33708853300229724,0.010534016656321789,-0.010534016656321789,0.007952495086953981,1,32
CHE,0,0.0,3.730545052503567,0.1381683352779099,-0.1381683352779099,0.038175457624864906,0,27
BEL,0,0.0,4.087541392375762,0.12773566851174256,-0.12773566851174256,0.0519244501931234,0,32
ARE,0,0.0,1.3935130408365464,0.043547282526142074,-0.043547282526142074,0.027007365519158298,1,32
XKX,0,0.0,0.8126626881809577,0.054177512545397176,-0.054177512545397176,0.025112421258819982,0,15
WSM,0,0.0,0.4628594067027711,0.014464356459461597,-0.014464356459461597,0.009884823900610469,1,32
VUT,0,0.0,0.5710751046991708,0.017846097021849087,-0.017846097021849087,0.012470612634714237,1,32
ATG,0,0.0,0.23426382412078373,0.007808794137359457,-0.007808794137359457,0.0052153772148751665,1,30
AUS,0,0.0,4.868311368352694,0.1521347302610217,-0.1521347302610217,0.061512880048859894,1,32
VCT,0,0.0,0.21183244528633627,0.006619763915198008,-0.006619763915198008,0.005375547119393036,1,32
AUT,0,0.0,4.1796292012301,0.13061341253844064,-0.13061341253844064,0.04508355656656436,0,32
BEN,0,0.0,4.653588741279463,0.1454246481649832,-0.1454246481649832,0.08538114802684568,1,32
BTN,0,0.0,0.7088861674750135,0.022867295725000437,-0.022867295725000437,0.015694687413791722,1,31
BHS,0,0.0,0.180195074471399,0.018019507447139902,-0.018019507447139902,0.008066624283183515,1,10
BLZ,0,0.0,0.4537569317362489,0.014179904116757779,-0.014179904116757779,0.010823531917847434,1,32
BMU,0,0.0,0.045121575322703396,0.011280393830675849,-0.011280393830675849,0.00411091957776577,0,4
TUV,0,0.0,0.04950458729960997,0.0015969221709551604,-0.0015969221709551604,0.001315324945392334,1,31
BRB,0,0.0,0.1992124587597808,0.011067358819987822,-0.011067358819987822,0.008593421787213269,1,18
BRN,0,0.0,0.4996040223471362,0.021721914015092877,-0.021721914015092877,0.008671378636867975,1,23
TTO,0,0.0,0.5060448009182361,0.022001947866010264,-0.022001947866010264,0.016339265806748188,1,23
TON,0,0.0,0.2913338172338237,0.009397865072058828,-0.009397865072058828,0.006778840376482273,1,31
BWA,0,0.0,1.938421036776801,0.060575657399275035,-0.060575657399275035,0.03500124846502736,1,32
EST,0,0.0,0.8410280958819996,0.027129938576838694,-0.027129938576838694,0.015263277263956038,0,31
LAO,0,0.0,2.7487926885690457,0.08589977151778268,-0.08589977151778268,0.055941900628243814,1,32
NAM,0,0.0,2.340119298020498,0.07312872806314057,-0.07312872806314057,0.04127695838347635,1,32
MWI,0,0.0,4.488075522225309,0.1402523600695409,-0.1402523600695409,0.09322199597689496,1,32
MUS,0,0.0,1.296252105629263,0.04050787830091447,-0.04050787830091447,0.0239595125637775,1,32
MRT,0,0.0,1.7252507038643505,0.053914084495760954,-0.053914084495760954,0.03798516083142379,1,32
IRL,0,0.0,2.2537149542010972,0.11268574771005486,-0.11268574771005486,0.03694633831079084,0,20
MNG,0,0.0,1.2603380230030885,0.039385563218846516,-0.039385563218846516,0.0382663660539446,0,32
MNE,0,0.0,0.6065292555092902,0.031922592395225796,-0.031922592395225796,0.013875734382022921,0,19
