Source,Target,Year,Weight,Type,Layer
BEL,KWT,1999,4.9,Directed,Arms
BEL,LBN,2009,6.96,Directed,Arms
BEL,LBN,2010,2.16,Directed,Arms
BEL,MAR,2008,18.92,Directed,Arms
BEL,MAR,2009,36.099999999999994,Directed,Arms
BEL,MEX,1994,38.86,Directed,Arms
BEL,MEX,1995,21.21,Directed,Arms
BEL,MEX,1996,26.93,Directed,Arms
BEL,MMR,2016,0.28,Directed,Arms
BEL,PAK,2022,67.2,Directed,Arms
BEL,PAK,2023,11.2,Directed,Arms
BEL,PHL,1996,3.0,Directed,Arms
BEL,PHL,1997,3.6,Directed,Arms
BEL,PHL,1998,0.6,Directed,Arms
BEL,PHL,2015,3.96,Directed,Arms
BEL,QAT,1998,16.8,Directed,Arms
BEL,QAT,1999,8.4,Directed,Arms
BEL,SAU,2000,1.4,Directed,Arms
BEL,SAU,2001,14.0,Directed,Arms
BEL,SAU,2002,14.0,Directed,Arms
BEL,SAU,2003,14.7,Directed,Arms
BEL,SAU,2004,46.9,Directed,Arms
BEL,SAU,2006,7.0,Directed,Arms
BEL,SAU,2011,7.0,Directed,Arms
BEL,SAU,2012,21.0,Directed,Arms
BEL,SAU,2013,21.0,Directed,Arms
BEL,SAU,2014,9.8,Directed,Arms
BEL,SAU,2019,59.2,Directed,Arms
BEL,SAU,2020,26.4,Directed,Arms
BEL,SAU,2021,28.0,Directed,Arms
BEL,SAU,2022,25.6,Directed,Arms
BEL,SAU,2023,8.0,Directed,Arms
BEL,SAU,2024,8.0,Directed,Arms
BEL,TCD,2007,18.48,Directed,Arms
BEL,TCD,2008,12.01,Directed,Arms
BEL,TCD,2010,7.39,Directed,Arms
BEL,UKR,2022,17.6,Directed,Arms
BEL,UKR,2023,19.5,Directed,Arms
BEL,UKR,2024,18.0,Directed,Arms
BEL,URY,2008,0.3,Directed,Arms
BGR,AGO,1993,27.72,Directed,Arms
BGR,AGO,1999,24.14,Directed,Arms
BGR,AGO,2014,2.0,Directed,Arms
BGR,AGO,2015,9.91,Directed,Arms
BGR,AGO,2017,6.34,Directed,Arms
BGR,AGO,2019,7.279999999999999,Directed,Arms
BGR,ARE,2003,18.0,Directed,Arms
BGR,AZE,2002,9.36,Directed,Arms
BGR,BFA,2018,3.3,Directed,Arms
BGR,BFA,2019,3.3,Directed,Arms
BGR,BFA,2021,3.3,Directed,Arms
BGR,CIV,2000,0.16,Directed,Arms
BGR,CIV,2002,4.8,Directed,Arms
BGR,CIV,2003,19.9,Directed,Arms
BGR,CIV,2017,9.9,Directed,Arms
BGR,CIV,2018,6.8,Directed,Arms
BGR,CIV,2020,3.4,Directed,Arms
BGR,CIV,2021,3.4,Directed,Arms
BGR,COD,2013,1.2,Directed,Arms
BGR,COD,2015,1.2,Directed,Arms
BGR,COG,1998,1.8,Directed,Arms
BGR,COG,1999,1.2,Directed,Arms
BGR,CZE,1999,0.16,Directed,Arms
