iso3,year,gdp_per_capita,gdp_per_capita_log,population,population_log,v2x_polyarchy,armed_conflict,conflict_intensity
MIC,1993,871.717592246639,6.770465509351845,4016605020.0,22.113702860379345,,0,0
MIC,1994,965.05441920224,6.872184492704652,4085142527.0,22.1306224549802,,0,0
MIC,1995,1105.20646514846,7.007787442786459,4153549029.0,22.147228993435196,,0,0
MIC,1996,1209.98978256185,7.098367194391375,4221979035.0,22.163569820704122,,0,0
MIC,1997,1263.93755302408,7.141987169233271,4290382932.0,22.179641827441223,,0,0
MIC,1998,1221.1178559528,7.1075219935744185,4358459090.0,22.195384412115114,,0,0
MIC,1999,1156.99314507115,7.053579802432089,4425269853.0,22.210597097275684,,0,0
MIC,2000,1237.10225471924,7.120527032451589,4491582042.0,22.225470824524823,,0,0
MIC,2001,1222.94251438049,7.109015130805265,4557281954.0,22.2399922200374,,0,0
MIC,2002,1228.47350986789,7.113527628739648,4620891319.0,22.25385344962267,,0,0
MIC,2003,1357.07541063235,7.213087229869566,4683580056.0,22.267328623666902,,0,0
MIC,2004,1571.30392795214,7.359661081003399,4746877931.0,22.280752961207074,,0,0
MIC,2005,1830.92630559246,7.512577295690015,4809774178.0,22.29391597152122,,0,0
MIC,2006,2129.12103739521,7.66346451503662,4872116354.0,22.30679424925274,,0,0
MIC,2007,2583.28146959331,7.856815757191291,4933710362.0,22.31935715085788,,0,0
MIC,2008,3029.34246580388,8.016100866968257,4996382425.0,22.331979972517217,,0,0
MIC,2009,3001.53141895573,8.006877910388479,5059811744.0,22.344595114810588,,0,0
MIC,2010,3610.66323367037,8.191646755690577,5123741911.0,22.357150851055057,,0,0
MIC,2011,4205.16300649743,8.344068336577807,5188568435.0,22.369723664669177,,0,0
MIC,2012,4424.22119652774,8.394849541167384,5255495302.0,22.38254009030663,,0,0
MIC,2013,4641.4999159695,8.442792850735819,5322303622.0,22.39517205823161,,0,0
MIC,2014,4798.48322756442,8.476055152701864,5388731311.0,22.407575815868363,,0,0
MIC,2015,4602.51682691609,8.434358569138809,5452914477.0,22.419416069106976,,0,0
MIC,2016,4605.60639396078,8.435029621662004,5515962374.0,22.43091197560692,,0,0
MIC,2017,4982.00575599033,8.51358785117881,5579081195.0,22.442289939387354,,0,0
MIC,2018,5248.39737081301,8.565678046281242,5640136670.0,22.453174134432285,,0,0
MIC,2019,5353.79775844374,8.585561449448978,5698581856.0,22.463483183638775,,0,0
MIC,2020,5134.62007912707,8.543761133087461,5753270728.0,22.47303435229848,,0,0
MIC,2021,6007.32308658147,8.700734518418194,5802247321.0,22.481511148589934,,0,0
MIC,2022,6248.00962014697,8.740018231234561,5846464711.0,22.489102992607506,,0,0
MIC,2023,6386.30246387838,8.761910735741955,5891100497.0,22.496708658753114,,0,0
MIC,2024,6554.37054933497,8.78788736555115,5938893610.0,22.50478869202948,,0,0
MKD,1992,1198.92829846257,7.089183352123902,2032523.0,14.524788436453237,0.275,0,0
MKD,1993,1336.64775641463,7.197920084211705,2006854.0,14.512078879741269,0.277,0,0
MKD,1994,1786.35488334914,7.487932444580698,1992666.0,14.504983998597801,0.317,0,0
MKD,1995,2355.24705371138,7.7644009069828215,1998534.0,14.50792446974837,0.451,0,0
