Id,Label,case_study,journalist_killings_total,colonial_tie_flag,armed_conflict_pct,gdp_per_capita_log_mean,population_log_mean
CRI,CRI,,1,1,0.0,8.805489798670061,15.281239753841986
CUB,CUB,,0,1,0.0,8.363271250086255,16.226618272700613
CYP,CYP,,1,1,0.0,9.926485763059214,13.844155841306685
DEU,DEU,,0,0,0.0,10.533670595152671,18.223416337058364
DJI,DJI,,0,1,0.15151515151515152,7.188318632684333,13.6789857731586
DMA,DMA,,0,1,0.0,8.761543501402231,11.13729882196136
DOM,DOM,,6,1,0.0,8.383291669032914,16.0636293539216
DZA,DZA,,60,1,0.8484848484848485,8.081584063609107,17.381218644059825
ECU,ECU,,4,1,0.030303030303030304,8.178060640868797,16.48487581888766
EGY,EGY,,13,1,0.45454545454545453,7.496733133729014,18.266979856912148
ERI,ERI,,2,1,0.21212121212121213,5.923671985554152,14.802057521040595
ESP,ESP,,1,0,0.0,10.067887870238224,17.60130290586667
FJI,FJI,,0,1,0.0,8.163442981160525,13.683938484532378
FRA,FRA,,10,0,0.0,10.425981135614192,17.972141325785753
FSM,FSM,,0,1,0.0,7.838626620451653,11.609055729781524
GAB,GAB,,1,1,0.0,8.737209956632254,14.302419603827381
GBR,GBR,,4,0,0.12121212121212122,10.49877154255364,17.945693049063575
GHA,GHA,,2,1,0.0,6.787381469289156,16.992812490629376
GIN,GIN,,4,1,0.06060606060606061,6.601096827749518,16.12327531870279
GMB,GMB,,2,1,0.0,6.465100758054072,14.410277549924878
GNB,GNB,,0,1,0.06060606060606061,6.397243667310933,14.22295161628939
GNQ,GNQ,,0,1,0.0,8.211609795939147,13.851208931753336
GRD,GRD,,0,1,0.0,8.747909940446629,11.61376615633938
GTM,GTM,,27,1,0.12121212121212122,7.853567858116875,16.432766166225104
GUY,GUY,,0,1,0.0,7.933987916013917,13.553572327661767
HND,HND,,39,1,0.0,7.359104166306042,15.873769679637833
HTI,HTI,,23,1,0.06060606060606061,6.786200376653078,16.054201437469043
IDN,IDN,,14,1,0.5151515151515151,7.537983941518937,19.286790201760788
IND,IND,,92,1,1.0,6.826907292922754,20.89350139627056
IRQ,IRQ,IRQ,285,1,0.8181818181818182,7.607318689925697,17.219652645215312
ISR,ISR,,181,1,0.8787878787878788,10.25402810537328,15.801257967997913
ITA,ITA,,0,0,0.0,10.293641606796843,17.884861593728797
JAM,JAM,,0,1,0.0,8.355609160228354,14.806135737719707
JOR,JOR,,0,1,0.030303030303030304,7.868933120437856,15.772319624891628
KEN,KEN,,6,1,0.30303030303030304,6.719104083343913,17.461376354433156
KHM,KHM,,13,1,0.24242424242424243,6.654285385673863,16.425554310306733
KIR,KIR,,0,1,0.0,7.171066838070515,11.541600671056143
KNA,KNA,,0,1,0.0,9.301028839848806,10.715148605976873
KWT,KWT,,1,1,0.0,10.224533408812077,14.826115005516677
LAO,LAO,,0,1,0.0,6.718345496347104,15.623682787438963
LBN,LBN,,17,1,0.09090909090909091,8.49895254843937,15.414309682977382
LBY,LBY,,15,1,0.32142857142857145,8.977783911971478,15.618445043678259
LCA,LCA,,0,1,0.0,8.96414592329375,12.01754478565226
LKA,LKA,,25,1,0.48484848484848486,7.493387324696921,16.815995352906533
LSO,LSO,,1,1,0.030303030303030304,6.636126387015049,14.533344496793095
MAR,MAR,,0,1,0.0,7.791697021320908,17.263497359930337
MDG,MDG,,2,1,0.0,5.959404995172232,16.844294052326457
MDV,MDV,,2,1,0.0,8.48620929643667,12.769030892289269
MEX,MEX,,158,1,0.06060606060606061,9.039983946279108,18.50792913799359
MHL,MHL,,0,1,0.0,8.096067200608168,10.780579619286794
MLI,MLI,,2,1,0.5151515151515151,6.414868349215529,16.5230057851717
MMR,MMR,,13,1,1.0,6.095447873333204,17.688341324571578
MOZ,MOZ,,4,1,0.3333333333333333,6.037716098001708,16.912028213010466
MRT,MRT,,0,1,0.030303030303030304,7.135996766867326,14.996401124876135
MUS,MUS,,0,1,0.0,8.774282172037312,14.010363532790237
MWI,MWI,,0,1,0.0,6.0379973251371695,16.46796168793309
MYS,MYS,,0,1,0.030303030303030304,8.815139361731385,17.107695375665152
NAM,NAM,,0,1,0.0,8.171645945952447,14.554045662982734
NER,NER,,0,1,0.48484848484848486,5.950439415468848,16.550577258081322
NGA,NGA,,25,1,0.5151515151515151,7.311699655085353,18.869605685737625
NIC,NIC,,3,1,0.0,7.212580643009413,15.53270276882538
