donor,recipient,year,aid_amount,recipient_iso3
Norway,Liberia,1998,11652089,LBR
Norway,Liberia,1999,4259602,LBR
Norway,Liberia,2000,434779,LBR
Norway,Liberia,2001,699714,LBR
Norway,Liberia,2002,3942170,LBR
Norway,Liberia,2003,16748410,LBR
Norway,Liberia,2004,20033971,LBR
Norway,Liberia,2005,10448480,LBR
Norway,Liberia,2006,13433900,LBR
Norway,Liberia,2007,49895864,LBR
Norway,Liberia,2008,38407011,LBR
Norway,Liberia,2009,27820266,LBR
Norway,Liberia,2010,75485006,LBR
Norway,Liberia,2011,5953627,LBR
Norway,Liberia,2012,19066769,LBR
Norway,Liberia,2013,85650656,LBR
Norway,Libya,1995,51031,LBY
Norway,Libya,1996,59480,LBY
Norway,Libya,1998,24009,LBY
Norway,Libya,2005,281517,LBY
Norway,Libya,2006,113307,LBY
Norway,Libya,2011,14505941,LBY
Norway,Libya,2012,2704831,LBY
Norway,Libya,2013,700410,LBY
Norway,Lithuania,2002,2211980,LTU
Norway,Lithuania,2004,249072,LTU
Norway,"Macedonia, FYR",1995,12758,MKD
Norway,"Macedonia, FYR",1997,15656,MKD
Norway,"Macedonia, FYR",1998,2614276,MKD
Norway,"Macedonia, FYR",1999,15435132,MKD
Norway,"Macedonia, FYR",2000,1897946,MKD
Norway,"Macedonia, FYR",2001,13801398,MKD
Norway,"Macedonia, FYR",2002,20281318,MKD
Norway,"Macedonia, FYR",2003,22028447,MKD
Norway,"Macedonia, FYR",2004,21776545,MKD
Norway,"Macedonia, FYR",2005,19061961,MKD
Norway,"Macedonia, FYR",2006,17297773,MKD
Norway,"Macedonia, FYR",2007,11030279,MKD
Norway,"Macedonia, FYR",2008,8086790,MKD
Norway,"Macedonia, FYR",2009,12351710,MKD
Norway,"Macedonia, FYR",2010,9423118,MKD
Norway,"Macedonia, FYR",2011,6845302,MKD
Norway,"Macedonia, FYR",2012,6402791,MKD
Norway,"Macedonia, FYR",2013,5565568,MKD
Norway,Madagascar,1990,33630923,MDG
Norway,Madagascar,1992,5559098,MDG
Norway,Madagascar,1993,650285,MDG
Norway,Madagascar,1994,15638705,MDG
Norway,Madagascar,1995,18476705,MDG
Norway,Madagascar,1996,7987441,MDG
Norway,Madagascar,1997,21436429,MDG
Norway,Madagascar,1998,3680979,MDG
Norway,Madagascar,1999,5987839,MDG
Norway,Madagascar,2000,25899939,MDG
Norway,Madagascar,2001,5041006,MDG
Norway,Madagascar,2002,7489145,MDG
Norway,Madagascar,2003,2654171,MDG
Norway,Madagascar,2004,9591468,MDG
Norway,Madagascar,2005,53557261,MDG
Norway,Madagascar,2006,10016345,MDG
Norway,Madagascar,2007,35707165,MDG
Norway,Madagascar,2008,22198344,MDG
Norway,Madagascar,2009,15655923,MDG
Norway,Madagascar,2010,5701658,MDG
Norway,Madagascar,2011,27534539,MDG
Norway,Madagascar,2012,6993438,MDG
Norway,Madagascar,2013,7265496,MDG
Norway,Malawi,1990,1127967,MWI
Norway,Malawi,1991,15225776,MWI
Norway,Malawi,1992,2300317,MWI
Norway,Malawi,1993,2334278,MWI
Norway,Malawi,1994,12887529,MWI
Norway,Malawi,1995,5013387,MWI
Norway,Malawi,1996,993663,MWI
Norway,Malawi,1997,4038625,MWI
Norway,Malawi,1998,29624472,MWI
Norway,Malawi,1999,38024320,MWI
Norway,Malawi,2000,18937678,MWI
Norway,Malawi,2001,65678097,MWI
Norway,Malawi,2002,109350677,MWI
Norway,Malawi,2003,65005539,MWI
Norway,Malawi,2004,77744521,MWI
Norway,Malawi,2005,150801668,MWI
Norway,Malawi,2006,56274536,MWI
Norway,Malawi,2007,62253097,MWI
Norway,Malawi,2008,64700151,MWI
Norway,Malawi,2009,72979658,MWI
Norway,Malawi,2010,35417986,MWI
Norway,Malawi,2011,60942028,MWI
Norway,Malawi,2012,122492226,MWI
Norway,Malawi,2013,192144341,MWI
Norway,Malaysia,1990,3076239,MYS
Norway,Malaysia,1993,47975,MYS
Norway,Malaysia,1994,296338,MYS
Norway,Malaysia,1995,369972,MYS
Norway,Malaysia,1996,304747,MYS
Norway,Malaysia,1997,297469,MYS
Norway,Malaysia,1998,533008,MYS
Norway,Malaysia,1999,343702,MYS
Norway,Malaysia,2000,45064,MYS
Norway,Malaysia,2001,484887,MYS
Norway,Malaysia,2002,329510,MYS
Norway,Malaysia,2003,2300496,MYS
Norway,Malaysia,2004,1206102,MYS
Norway,Malaysia,2005,266022,MYS
Norway,Malaysia,2006,2620523,MYS
Norway,Malaysia,2008,444520,MYS
Norway,Malaysia,2009,1157230,MYS
Norway,Malaysia,2010,33536,MYS
Norway,Malaysia,2011,398280,MYS
Norway,Malaysia,2012,2262558,MYS
Norway,Malaysia,2013,701735,MYS
Norway,Maldives,1993,9668158,MDV
Norway,Maldives,1994,2825544,MDV
Norway,Maldives,1996,3883683,MDV
Norway,Maldives,2000,50166,MDV
Norway,Maldives,2001,21256,MDV
Norway,Maldives,2002,6023,MDV
Norway,Maldives,2003,263795,MDV
Norway,Maldives,2004,254520,MDV
Norway,Maldives,2005,3882648,MDV
Norway,Maldives,2006,1351914,MDV
Norway,Maldives,2009,14606,MDV
Norway,Maldives,2010,39366,MDV
Norway,Maldives,2011,58165,MDV
Norway,Maldives,2012,26913,MDV
Norway,Maldives,2013,6406,MDV
Norway,Mali,1990,700118,MLI
Norway,Mali,1991,1218062,MLI
Norway,Mali,1992,2980060,MLI
Norway,Mali,1993,13319033,MLI
Norway,Mali,1994,17080586,MLI
Norway,Mali,1995,18322520,MLI
Norway,Mali,1996,15565872,MLI
Norway,Mali,1997,9021148,MLI
Norway,Mali,1998,9276535,MLI
Norway,Mali,1999,37505276,MLI
Norway,Mali,2000,4361811,MLI
Norway,Mali,2001,7601846,MLI
Norway,Mali,2002,17844782,MLI
Norway,Mali,2003,6638819,MLI
Norway,Mali,2004,2481404,MLI
Norway,Mali,2005,13928544,MLI
Norway,Mali,2006,5262629,MLI
Norway,Mali,2007,2663602,MLI
Norway,Mali,2008,13619879,MLI
Norway,Mali,2009,13549166,MLI
Norway,Mali,2010,21230927,MLI
Norway,Mali,2011,4545356,MLI
Norway,Mali,2012,16145161,MLI
Norway,Mali,2013,23078869,MLI
Norway,Marshall Islands,2005,17158,MHL
Norway,Marshall Islands,2006,9280,MHL
Norway,Marshall Islands,2008,56384,MHL
Norway,Marshall Islands,2009,58508,MHL
Norway,Mauritania,1991,5329021,MRT
Norway,Mauritania,1993,223008,MRT
Norway,Mauritania,1994,271550,MRT
Norway,Mauritania,1995,472761,MRT
Norway,Mauritania,1996,859658,MRT
Norway,Mauritania,1997,1329758,MRT
Norway,Mauritania,1998,704847,MRT
Norway,Mauritania,1999,2584385,MRT
Norway,Mauritania,2000,176918,MRT
Norway,Mauritania,2001,30433,MRT
Norway,Mauritania,2002,1181079,MRT
Norway,Mauritania,2003,866954,MRT
Norway,Mauritania,2004,678651,MRT
Norway,Mauritania,2005,1253617,MRT
Norway,Mauritania,2006,499630,MRT
Norway,Mauritania,2007,243994,MRT
Norway,Mauritania,2008,546590,MRT
Norway,Mauritania,2009,65342,MRT
Norway,Mauritania,2010,675844,MRT
Norway,Mauritania,2011,635906,MRT
Norway,Mauritania,2012,2196040,MRT
Norway,Mauritania,2013,1041605,MRT
Norway,Mauritius,1993,92951,MUS
Norway,Mauritius,1996,73825,MUS
Norway,Mauritius,1997,58881,MUS
Norway,Mauritius,1998,58651,MUS
Norway,Mauritius,1999,91862,MUS
Norway,Mauritius,2002,43293,MUS
Norway,Mauritius,2004,26978,MUS
Norway,Mauritius,2005,38627,MUS
Norway,Mauritius,2007,53794,MUS
Norway,Mauritius,2008,1715069,MUS
Norway,Mauritius,2012,334888,MUS
Norway,Mexico,1994,928077,MEX
Norway,Mexico,1995,777851,MEX
Norway,Mexico,1996,849162,MEX
Norway,Mexico,1997,574516,MEX
Norway,Mexico,1998,2498689,MEX
Norway,Mexico,1999,3409128,MEX
Norway,Mexico,2000,41726,MEX
Norway,Mexico,2001,357602,MEX
Norway,Mexico,2002,790486,MEX
Norway,Mexico,2003,108854,MEX
Norway,Mexico,2004,571347,MEX
Norway,Mexico,2005,764836,MEX
Norway,Mexico,2008,128764,MEX
Norway,Mexico,2009,21622,MEX
Norway,Mexico,2010,17124026,MEX
Norway,Mexico,2011,161018,MEX
Norway,Mexico,2012,336709,MEX
Norway,Mexico,2013,1646561,MEX
Norway,Moldova,2000,1337680,MDA
Norway,Moldova,2001,1723203,MDA
Norway,Moldova,2002,2229021,MDA
Norway,Moldova,2003,4379270,MDA
Norway,Moldova,2004,2300507,MDA
Norway,Moldova,2005,4172013,MDA
Norway,Moldova,2006,3789637,MDA
Norway,Moldova,2007,3909055,MDA
Norway,Moldova,2008,8543727,MDA
Norway,Moldova,2009,4153011,MDA
Norway,Moldova,2010,7102113,MDA
Norway,Moldova,2011,5563350,MDA
Norway,Moldova,2012,4346862,MDA
Norway,Moldova,2013,9175802,MDA
Norway,Mongolia,1994,13653351,MNG
Norway,Mongolia,1995,207038,MNG
Norway,Mongolia,1996,6652643,MNG
Norway,Mongolia,1997,636460,MNG
Norway,Mongolia,1998,5602071,MNG
Norway,Mongolia,1999,5246574,MNG
Norway,Mongolia,2000,508427,MNG
Norway,Mongolia,2001,7282082,MNG
Norway,Mongolia,2002,4498916,MNG
Norway,Mongolia,2003,2136689,MNG
Norway,Mongolia,2004,510728,MNG
Norway,Mongolia,2005,994372,MNG
Norway,Mongolia,2006,1496732,MNG
Norway,Mongolia,2007,1167677,MNG
Norway,Mongolia,2008,674830,MNG
Norway,Mongolia,2009,760688,MNG
Norway,Mongolia,2010,854882,MNG
Norway,Mongolia,2011,444171,MNG
Norway,Mongolia,2012,756765,MNG
Norway,Mongolia,2013,661989,MNG
Norway,Montenegro,2007,5127895,MNE
Norway,Montenegro,2008,4644537,MNE
Norway,Montenegro,2009,7138694,MNE
Norway,Montenegro,2010,6595154,MNE
Norway,Montenegro,2012,3649500,MNE
Norway,Montenegro,2013,2396485,MNE
Norway,Morocco,1996,105314,MAR
Norway,Morocco,1997,199106,MAR
Norway,Morocco,1998,222601,MAR
Norway,Morocco,1999,107785,MAR
Norway,Morocco,2001,48616,MAR
Norway,Morocco,2002,71329,MAR
Norway,Morocco,2003,684936,MAR
Norway,Morocco,2004,1451539,MAR
Norway,Morocco,2005,143668,MAR
Norway,Morocco,2006,194889,MAR
Norway,Morocco,2007,5865,MAR
Norway,Morocco,2009,12100,MAR
Norway,Morocco,2010,24540,MAR
Norway,Morocco,2011,89212,MAR
Norway,Morocco,2012,202248,MAR
Norway,Morocco,2013,416645,MAR
Norway,Mozambique,1990,53870155,MOZ
Norway,Mozambique,1991,117931247,MOZ
Norway,Mozambique,1992,79934083,MOZ
Norway,Mozambique,1993,122672216,MOZ
Norway,Mozambique,1994,111812730,MOZ
Norway,Mozambique,1995,73953843,MOZ
Norway,Mozambique,1996,101549908,MOZ
Norway,Mozambique,1997,80163253,MOZ
Norway,Mozambique,1998,14951660,MOZ
Norway,Mozambique,1999,107301540,MOZ
Norway,Mozambique,2000,48683424,MOZ
Norway,Mozambique,2001,187987069,MOZ
Norway,Mozambique,2002,80281668,MOZ
Norway,Mozambique,2003,102403527,MOZ
Norway,Mozambique,2004,77657789,MOZ
Norway,Mozambique,2005,100200773,MOZ
Norway,Mozambique,2006,154454769,MOZ
Norway,Mozambique,2007,84374702,MOZ
Norway,Mozambique,2008,43893132,MOZ
Norway,Mozambique,2009,176128253,MOZ
Norway,Mozambique,2010,51777362,MOZ
Norway,Mozambique,2011,46076374,MOZ
Norway,Mozambique,2012,70380131,MOZ
Norway,Mozambique,2013,82257369,MOZ
Norway,Myanmar,1993,953127,MMR
Norway,Myanmar,1994,1961317,MMR
Norway,Myanmar,1995,1950096,MMR
Norway,Myanmar,1996,2297671,MMR
Norway,Myanmar,1997,3887508,MMR
Norway,Myanmar,1998,6092891,MMR
Norway,Myanmar,1999,6546365,MMR
Norway,Myanmar,2000,5733303,MMR
Norway,Myanmar,2001,6772138,MMR
Norway,Myanmar,2002,8550604,MMR
Norway,Myanmar,2003,9684501,MMR
Norway,Myanmar,2004,11906026,MMR
Norway,Myanmar,2005,8796112,MMR
Norway,Myanmar,2006,11012580,MMR
Norway,Myanmar,2007,12822513,MMR
Norway,Myanmar,2008,33210737,MMR
Norway,Myanmar,2009,31427942,MMR
Norway,Myanmar,2010,19093643,MMR
Norway,Myanmar,2011,20093392,MMR
Norway,Myanmar,2012,28467362,MMR
Norway,Myanmar,2013,48355643,MMR
Norway,Namibia,1990,11201880,NAM
Norway,Namibia,1991,49864415,NAM
Norway,Namibia,1992,1238338,NAM
Norway,Namibia,1993,60927384,NAM
Norway,Namibia,1994,6516817,NAM
Norway,Namibia,1995,7375740,NAM
Norway,Namibia,1996,30586978,NAM
Norway,Namibia,1997,23967632,NAM
Norway,Namibia,1998,7434329,NAM
Norway,Namibia,1999,12882611,NAM
Norway,Namibia,2000,21631361,NAM
Norway,Namibia,2001,9678564,NAM
Norway,Namibia,2002,2791374,NAM
Norway,Namibia,2003,8180633,NAM
Norway,Namibia,2004,2344534,NAM
Norway,Namibia,2005,966573,NAM
Norway,Namibia,2006,2078592,NAM
Norway,Namibia,2007,1084520,NAM
Norway,Namibia,2008,16333474,NAM
Norway,Namibia,2009,4602174,NAM
Norway,Namibia,2010,1026278,NAM
Norway,Namibia,2011,514021,NAM
Norway,Namibia,2012,4132971,NAM
Norway,Namibia,2013,1729850,NAM
Norway,Nauru,2003,45554,NRU
Norway,Nepal,1990,2735903,NPL
Norway,Nepal,1992,11455308,NPL
Norway,Nepal,1993,20290013,NPL
Norway,Nepal,1994,11632691,NPL
Norway,Nepal,1995,7313044,NPL
Norway,Nepal,1996,16753717,NPL
Norway,Nepal,1997,8415900,NPL
Norway,Nepal,1998,6722624,NPL
Norway,Nepal,1999,86976112,NPL
Norway,Nepal,2000,21805174,NPL
Norway,Nepal,2001,82787659,NPL
Norway,Nepal,2002,27805545,NPL
Norway,Nepal,2003,25210078,NPL
Norway,Nepal,2004,112634536,NPL
Norway,Nepal,2005,12274575,NPL
Norway,Nepal,2006,42964953,NPL
Norway,Nepal,2007,63941146,NPL
Norway,Nepal,2008,36168908,NPL
Norway,Nepal,2009,83867706,NPL
Norway,Nepal,2010,45637205,NPL
Norway,Nepal,2011,56297181,NPL
Norway,Nepal,2012,49407553,NPL
Norway,Nepal,2013,50187518,NPL
Norway,Nicaragua,1990,15858829,NIC
Norway,Nicaragua,1991,26759301,NIC
Norway,Nicaragua,1992,36994841,NIC
Norway,Nicaragua,1993,50829417,NIC
Norway,Nicaragua,1994,54503360,NIC
Norway,Nicaragua,1995,32072339,NIC
Norway,Nicaragua,1996,29671688,NIC
Norway,Nicaragua,1997,32637775,NIC
Norway,Nicaragua,1998,20214859,NIC
Norway,Nicaragua,1999,61878070,NIC
Norway,Nicaragua,2000,3779305,NIC
Norway,Nicaragua,2001,19840861,NIC
Norway,Nicaragua,2002,21996491,NIC
Norway,Nicaragua,2003,12302617,NIC
Norway,Nicaragua,2004,11338938,NIC
Norway,Nicaragua,2005,16888698,NIC
Norway,Nicaragua,2006,36253938,NIC
Norway,Nicaragua,2007,10527606,NIC
Norway,Nicaragua,2008,17207625,NIC
Norway,Nicaragua,2009,36496498,NIC
Norway,Nicaragua,2010,17546435,NIC
Norway,Nicaragua,2011,6494352,NIC
Norway,Nicaragua,2012,14204597,NIC
Norway,Nicaragua,2013,25963583,NIC
Norway,Niger,1991,1522578,NER
Norway,Niger,1993,1291949,NER
Norway,Niger,1994,1422725,NER
Norway,Niger,1995,13998410,NER
Norway,Niger,1996,1403024,NER
Norway,Niger,1997,2148306,NER
Norway,Niger,1998,1829856,NER
Norway,Niger,1999,7463021,NER
Norway,Niger,2000,808764,NER
Norway,Niger,2001,963881,NER
Norway,Niger,2002,4895280,NER
Norway,Niger,2003,619652,NER
Norway,Niger,2004,342638,NER
Norway,Niger,2005,6654381,NER
Norway,Niger,2006,3432880,NER
Norway,Niger,2007,203411,NER
Norway,Niger,2008,1969999,NER
Norway,Niger,2009,1919115,NER
Norway,Niger,2010,2075887,NER
Norway,Niger,2011,316526,NER
Norway,Niger,2012,6622248,NER
Norway,Niger,2013,10944100,NER
Norway,Nigeria,1993,373305,NGA
Norway,Nigeria,1994,230986,NGA
Norway,Nigeria,1995,446881,NGA
Norway,Nigeria,1996,3325973,NGA
Norway,Nigeria,1997,1636416,NGA
Norway,Nigeria,1998,577597,NGA
Norway,Nigeria,1999,1699016,NGA
Norway,Nigeria,2000,477485,NGA
Norway,Nigeria,2001,2271292,NGA
Norway,Nigeria,2002,5129731,NGA
Norway,Nigeria,2003,11513546,NGA
Norway,Nigeria,2004,7652751,NGA
Norway,Nigeria,2005,5288533,NGA
Norway,Nigeria,2006,2998211,NGA
Norway,Nigeria,2007,2235648,NGA
Norway,Nigeria,2008,51450445,NGA
Norway,Nigeria,2009,2823481,NGA
Norway,Nigeria,2010,2031930,NGA
Norway,Nigeria,2011,1490439,NGA
Norway,Nigeria,2012,11953018,NGA
Norway,Nigeria,2013,8392477,NGA
Norway,Oman,2006,22662,OMN
Norway,Pakistan,1990,91203280,PAK
Norway,Pakistan,1991,21267744,PAK
Norway,Pakistan,1992,31187617,PAK
Norway,Pakistan,1993,4477409,PAK
Norway,Pakistan,1994,13157577,PAK
Norway,Pakistan,1995,7110743,PAK
Norway,Pakistan,1996,6923802,PAK
Norway,Pakistan,1997,6677380,PAK
Norway,Pakistan,1998,8120313,PAK
Norway,Pakistan,1999,21648741,PAK
Norway,Pakistan,2000,9447846,PAK
Norway,Pakistan,2001,11773938,PAK
Norway,Pakistan,2002,46246525,PAK
Norway,Pakistan,2003,32097131,PAK
Norway,Pakistan,2004,3597967,PAK
Norway,Pakistan,2005,129442418,PAK
Norway,Pakistan,2006,25438621,PAK
Norway,Pakistan,2007,14788550,PAK
Norway,Pakistan,2008,69588472,PAK
Norway,Pakistan,2009,75082820,PAK
Norway,Pakistan,2010,86008542,PAK
Norway,Pakistan,2011,31942143,PAK
Norway,Pakistan,2012,39862474,PAK
Norway,Pakistan,2013,15112128,PAK
Norway,Palestinian Adm. Areas,1994,21903879,PSE
Norway,Palestinian Adm. Areas,1995,125695544,PSE
Norway,Palestinian Adm. Areas,1996,96579147,PSE
Norway,Palestinian Adm. Areas,1997,30645689,PSE
Norway,Palestinian Adm. Areas,1998,118917713,PSE
Norway,Palestinian Adm. Areas,1999,39657450,PSE
Norway,Palestinian Adm. Areas,2000,80235093,PSE
Norway,Palestinian Adm. Areas,2001,132385590,PSE
Norway,Palestinian Adm. Areas,2002,77230394,PSE
Norway,Palestinian Adm. Areas,2003,98977194,PSE
Norway,Palestinian Adm. Areas,2004,88922261,PSE
Norway,Palestinian Adm. Areas,2005,95920406,PSE
Norway,Palestinian Adm. Areas,2006,122195929,PSE
Norway,Palestinian Adm. Areas,2007,135631621,PSE
Norway,Palestinian Adm. Areas,2008,138200233,PSE
Norway,Palestinian Adm. Areas,2009,127800923,PSE
Norway,Palestinian Adm. Areas,2010,145965769,PSE
Norway,Palestinian Adm. Areas,2011,100234257,PSE
Norway,Palestinian Adm. Areas,2012,110130193,PSE
Norway,Palestinian Adm. Areas,2013,102393088,PSE
Norway,Panama,2005,31181,PAN
Norway,Panama,2010,2844460,PAN
Norway,Panama,2011,17952069,PAN
Norway,Papua New Guinea,1993,80583,PNG
Norway,Papua New Guinea,1996,56331,PNG
Norway,Papua New Guinea,1997,67730,PNG
Norway,Papua New Guinea,1998,602977,PNG
Norway,Papua New Guinea,1999,450818,PNG
Norway,Papua New Guinea,2000,53075,PNG
Norway,Papua New Guinea,2001,345995,PNG
Norway,Papua New Guinea,2004,45964,PNG
Norway,Papua New Guinea,2006,87409,PNG
Norway,Papua New Guinea,2008,1738418,PNG
Norway,Papua New Guinea,2009,282344,PNG
Norway,Papua New Guinea,2010,568892,PNG
Norway,Papua New Guinea,2011,133020,PNG
Norway,Papua New Guinea,2012,1570397,PNG
Norway,Papua New Guinea,2013,1603811,PNG
Norway,Paraguay,1993,1335801,PRY
Norway,Paraguay,1994,1255589,PRY
Norway,Paraguay,1995,354298,PRY
Norway,Paraguay,1996,1507288,PRY
Norway,Paraguay,1997,1508443,PRY
Norway,Paraguay,1998,2216750,PRY
Norway,Paraguay,1999,6523687,PRY
Norway,Paraguay,2000,7397524,PRY
Norway,Paraguay,2001,369139,PRY
Norway,Paraguay,2002,579744,PRY
Norway,Paraguay,2003,40580,PRY
Norway,Paraguay,2004,638701,PRY
Norway,Paraguay,2005,168167,PRY
Norway,Paraguay,2006,1086454,PRY
Norway,Paraguay,2007,392839,PRY
Norway,Paraguay,2008,910981,PRY
Norway,Paraguay,2010,62783,PRY
Norway,Paraguay,2011,51940,PRY
Norway,Paraguay,2012,1177823,PRY
Norway,Paraguay,2013,1200617,PRY
Norway,Peru,1993,2991685,PER
Norway,Peru,1994,4307237,PER
Norway,Peru,1995,5830969,PER
Norway,Peru,1996,5695370,PER
Norway,Peru,1997,5747195,PER
Norway,Peru,1998,5291665,PER
Norway,Peru,1999,10416504,PER
Norway,Peru,2000,4015816,PER
Norway,Peru,2001,2178888,PER
Norway,Peru,2002,2308624,PER
Norway,Peru,2003,372146,PER
Norway,Peru,2004,464988,PER
Norway,Peru,2005,3856495,PER
Norway,Peru,2006,1383425,PER
Norway,Peru,2007,4357682,PER
Norway,Peru,2008,2647952,PER
Norway,Peru,2009,1616593,PER
Norway,Peru,2010,2380969,PER
Norway,Peru,2011,376086,PER
Norway,Peru,2012,3733601,PER
Norway,Peru,2013,5401852,PER
Norway,Philippines,1990,9918332,PHL
Norway,Philippines,1991,11362882,PHL
Norway,Philippines,1992,16753972,PHL
Norway,Philippines,1993,8937576,PHL
Norway,Philippines,1994,8499166,PHL
Norway,Philippines,1995,11611274,PHL
Norway,Philippines,1996,3569839,PHL
Norway,Philippines,1997,7340384,PHL
Norway,Philippines,1998,3435055,PHL
Norway,Philippines,1999,6592215,PHL
Norway,Philippines,2000,6613587,PHL
Norway,Philippines,2001,842776,PHL
Norway,Philippines,2002,3179739,PHL
Norway,Philippines,2003,1010369,PHL
Norway,Philippines,2004,2652118,PHL
Norway,Philippines,2005,3714632,PHL
Norway,Philippines,2006,6745113,PHL
Norway,Philippines,2007,76328972,PHL
Norway,Philippines,2008,2063237,PHL
Norway,Philippines,2009,2070065,PHL
Norway,Philippines,2010,5575970,PHL
Norway,Philippines,2011,3936022,PHL
Norway,Philippines,2012,3175746,PHL
Norway,Philippines,2013,22667886,PHL
Norway,Poland,2002,2355371,POL
Norway,Poland,2004,149419,POL
Norway,Romania,2002,2889953,ROU
Norway,Romania,2004,886820,ROU
Norway,Russia,2002,50482471,RUS
Norway,Russia,2004,27321982,RUS
Norway,Rwanda,1993,3360867,RWA
Norway,Rwanda,1994,19539932,RWA
Norway,Rwanda,1995,30942375,RWA
Norway,Rwanda,1996,52030154,RWA
Norway,Rwanda,1997,26621701,RWA
Norway,Rwanda,1998,22618197,RWA
Norway,Rwanda,1999,14814118,RWA
Norway,Rwanda,2000,9396553,RWA
Norway,Rwanda,2001,4440112,RWA
Norway,Rwanda,2002,12538434,RWA
Norway,Rwanda,2003,10588976,RWA
Norway,Rwanda,2004,8612338,RWA
Norway,Rwanda,2005,3690318,RWA
Norway,Rwanda,2006,2956558,RWA
Norway,Rwanda,2007,5533573,RWA
Norway,Rwanda,2008,2681172,RWA
Norway,Rwanda,2009,3072687,RWA
Norway,Rwanda,2010,5631016,RWA
Norway,Rwanda,2011,800232,RWA
Norway,Rwanda,2012,2378829,RWA
Norway,Rwanda,2013,2275500,RWA
Norway,Sao Tome & Principe,2005,257972,STP
Norway,Sao Tome & Principe,2006,43165,STP
Norway,Sao Tome & Principe,2007,41896,STP
Norway,Sao Tome & Principe,2012,1105070,STP
Norway,Saudi Arabia,1996,45485,SAU
Norway,Saudi Arabia,2001,3428,SAU
Norway,Saudi Arabia,2002,22827,SAU
Norway,Saudi Arabia,2003,100973,SAU
Norway,Saudi Arabia,2006,22662,SAU
Norway,Senegal,1990,1944771,SEN
Norway,Senegal,1993,1388274,SEN
Norway,Senegal,1994,3024604,SEN
Norway,Senegal,1995,3154782,SEN
Norway,Senegal,1996,60426255,SEN
Norway,Senegal,1997,3030840,SEN
Norway,Senegal,1998,3006316,SEN
Norway,Senegal,1999,11476967,SEN
Norway,Senegal,2000,3287996,SEN
Norway,Senegal,2001,120312,SEN
Norway,Senegal,2002,2812505,SEN
Norway,Senegal,2003,301095,SEN
Norway,Senegal,2004,670483,SEN
Norway,Senegal,2005,236927,SEN
Norway,Senegal,2006,145680,SEN
Norway,Senegal,2007,627008,SEN
Norway,Senegal,2008,99386,SEN
Norway,Senegal,2009,15088,SEN
Norway,Senegal,2010,568892,SEN
Norway,Senegal,2012,576201,SEN
Norway,Senegal,2013,1212730,SEN
Norway,Serbia,1997,12209129,SRB
Norway,Serbia,1998,27454368,SRB
Norway,Serbia,1999,259280232,SRB
Norway,Serbia,2000,77236387,SRB
Norway,Serbia,2001,71202712,SRB
Norway,Serbia,2002,2476359,SRB
Norway,Serbia,2003,83802796,SRB
Norway,Serbia,2004,63922155,SRB
Norway,Serbia,2005,76024835,SRB
Norway,Serbia,2006,45465043,SRB
Norway,Serbia,2007,50604254,SRB
Norway,Serbia,2008,87636583,SRB
Norway,Serbia,2009,22920020,SRB
Norway,Serbia,2010,31741000,SRB
Norway,Serbia,2011,13242426,SRB
Norway,Serbia,2012,11832972,SRB
Norway,Serbia,2013,9004421,SRB
Norway,Seychelles,1990,1516921,SYC
Norway,Seychelles,2001,41015,SYC
Norway,Seychelles,2002,10232,SYC
Norway,Seychelles,2003,16720,SYC
Norway,Seychelles,2004,10953,SYC
Norway,Sierra Leone,1993,19918582,SLE
Norway,Sierra Leone,1994,1228546,SLE
Norway,Sierra Leone,1995,8489663,SLE
Norway,Sierra Leone,1996,3850444,SLE
Norway,Sierra Leone,1997,9157868,SLE
Norway,Sierra Leone,1998,10207068,SLE
Norway,Sierra Leone,1999,17919481,SLE
Norway,Sierra Leone,2000,20212343,SLE
Norway,Sierra Leone,2001,22296267,SLE
Norway,Sierra Leone,2002,23322456,SLE
Norway,Sierra Leone,2003,8009504,SLE
Norway,Sierra Leone,2004,10655141,SLE
Norway,Sierra Leone,2005,3815730,SLE
Norway,Sierra Leone,2006,3376119,SLE
Norway,Sierra Leone,2007,2145995,SLE
Norway,Sierra Leone,2008,4274631,SLE
Norway,Sierra Leone,2009,3617842,SLE
Norway,Sierra Leone,2010,2664993,SLE
Norway,Sierra Leone,2011,3428791,SLE
Norway,Sierra Leone,2012,1414078,SLE
Norway,Sierra Leone,2013,1797348,SLE
Norway,Slovak Republic,2002,653165,SVK
Norway,Slovenia,2000,131297,SVN
Norway,Slovenia,2001,3428,SVN
Norway,Slovenia,2002,91863,SVN
Norway,Solomon Islands,2003,19969,SLB
Norway,Solomon Islands,2010,7585,SLB
Norway,Solomon Islands,2011,6245,SLB
Norway,Somalia,1993,20481538,SOM
Norway,Somalia,1994,11891096,SOM
Norway,Somalia,1995,13937903,SOM
Norway,Somalia,1996,13066667,SOM
Norway,Somalia,1997,23081693,SOM
Norway,Somalia,1998,21744598,SOM
Norway,Somalia,1999,32386099,SOM
Norway,Somalia,2000,9466152,SOM
Norway,Somalia,2001,12393645,SOM
Norway,Somalia,2002,20433790,SOM
Norway,Somalia,2003,71430085,SOM
Norway,Somalia,2004,55444584,SOM
Norway,Somalia,2005,47337571,SOM
Norway,Somalia,2006,44479818,SOM
Norway,Somalia,2007,51185434,SOM
Norway,Somalia,2008,44721989,SOM
Norway,Somalia,2009,45813441,SOM
Norway,Somalia,2010,32121921,SOM
