donor,recipient,year,aid_amount
France,Uganda,1991,2024978
France,Uganda,1994,2634577
France,Uganda,1995,10908115
France,Uganda,1996,7984599
France,Uganda,1997,1823383
France,Uganda,1998,3057459
France,Uganda,1999,12749097
France,Uganda,2000,14615926
France,Uganda,2001,15060411
France,Uganda,2002,11579309
France,Uganda,2003,4321396
France,Uganda,2004,5135021
France,Uganda,2005,21386603
France,Uganda,2006,6340414
France,Uganda,2007,22624173
France,Uganda,2008,25502108
France,Uganda,2009,19461559
France,Uganda,2010,3307389
France,Uganda,2011,3030644
France,Uganda,2012,1111920
France,Uganda,2013,33937095
France,Ukraine,1992,1560866
France,Ukraine,1993,767034
France,Ukraine,1994,5278986
France,Ukraine,1995,11986436
France,Ukraine,1996,6632787
France,Ukraine,1997,6851953
France,Ukraine,1998,8277352
France,Ukraine,1999,6840431
France,Ukraine,2000,6599017
France,Ukraine,2001,7117920
France,Ukraine,2002,6693326
France,Ukraine,2003,7489355
France,Ukraine,2004,12392123
France,Ukraine,2005,25806001
France,Ukraine,2006,17028428
France,Ukraine,2007,6037719
France,Ukraine,2008,28835878
France,Ukraine,2009,15598908
France,Ukraine,2010,15601226
France,Ukraine,2011,86585259
France,Ukraine,2012,15411176
France,Ukraine,2013,28413761
France,United Arab Emirates,1994,2425532
France,United Arab Emirates,1995,1579978
France,United Arab Emirates,1996,1038083
France,United Arab Emirates,1997,1002901
France,United Arab Emirates,1998,461121
France,United Arab Emirates,1999,595520
France,United Arab Emirates,2000,628944
France,United Arab Emirates,2001,802444
France,United Arab Emirates,2002,445403
France,United Arab Emirates,2003,438723
France,United Arab Emirates,2004,1565470
France,Uruguay,1992,12259325
France,Uruguay,1994,5678971
France,Uruguay,1995,2077916
France,Uruguay,1996,3747132
France,Uruguay,1997,3588931
France,Uruguay,1998,936666
France,Uruguay,1999,1476316
France,Uruguay,2000,1376079
France,Uruguay,2001,1374076
France,Uruguay,2002,2183273
France,Uruguay,2003,1436680
France,Uruguay,2004,3324054
France,Uruguay,2005,1914781
France,Uruguay,2006,3600894
France,Uruguay,2007,5774127
France,Uruguay,2008,2476331
France,Uruguay,2009,1969037
France,Uruguay,2010,2837971
France,Uruguay,2011,1487404
France,Uruguay,2012,2638517
France,Uruguay,2013,2240501
France,Uzbekistan,1994,1814088
France,Uzbekistan,1995,1239152
France,Uzbekistan,1996,3762307
France,Uzbekistan,1997,2698198
France,Uzbekistan,1998,920861
France,Uzbekistan,1999,13751064
France,Uzbekistan,2000,1121786
France,Uzbekistan,2001,1475125
France,Uzbekistan,2002,1357060
France,Uzbekistan,2003,1987251
France,Uzbekistan,2004,2867431
France,Uzbekistan,2005,14032518
France,Uzbekistan,2006,3144929
France,Uzbekistan,2007,3019022
France,Uzbekistan,2008,2929437
France,Uzbekistan,2009,24295702
France,Uzbekistan,2010,2468175
France,Uzbekistan,2011,2214747
France,Uzbekistan,2012,2070685
France,Uzbekistan,2013,2197831
France,Vanuatu,1991,1012489
France,Vanuatu,1992,993278
France,Vanuatu,1993,4183821
France,Vanuatu,1994,12536333
France,Vanuatu,1995,5581283
France,Vanuatu,1996,9934433
France,Vanuatu,1997,6385987
France,Vanuatu,1998,13185705
France,Vanuatu,1999,10557918
France,Vanuatu,2000,18449068
France,Vanuatu,2001,8218141
France,Vanuatu,2002,3993320
France,Vanuatu,2003,13516312
France,Vanuatu,2004,4398551
France,Vanuatu,2005,10090084
France,Vanuatu,2006,6025631
France,Vanuatu,2007,10361187
France,Vanuatu,2008,2840015
France,Vanuatu,2009,3651091
France,Vanuatu,2010,3157428
France,Vanuatu,2011,2564184
France,Vanuatu,2012,3361365
France,Vanuatu,2013,3747157
France,Venezuela,1991,12728436
France,Venezuela,1994,3603686
France,Venezuela,1995,2307542
France,Venezuela,1996,2593036
France,Venezuela,1997,2479189
France,Venezuela,1998,7491225
France,Venezuela,1999,3773139
France,Venezuela,2000,3992025
France,Venezuela,2001,4931500
France,Venezuela,2002,5914123
France,Venezuela,2003,4393795
France,Venezuela,2004,6715313
France,Venezuela,2005,5792438
France,Venezuela,2006,7068594
France,Venezuela,2007,7250015
France,Venezuela,2008,6602252
France,Venezuela,2009,7291873
France,Venezuela,2010,7657663
France,Venezuela,2011,7889206
France,Venezuela,2012,7573932
France,Venezuela,2013,7806919
France,Viet Nam,1990,13364309
France,Viet Nam,1992,51082885
France,Viet Nam,1994,90733356
France,Viet Nam,1995,109657044
France,Viet Nam,1996,151850096
France,Viet Nam,1997,133538291
France,Viet Nam,1998,296177795
France,Viet Nam,1999,263644856
France,Viet Nam,2000,61654558
France,Viet Nam,2001,248956765
France,Viet Nam,2002,189401673
France,Viet Nam,2003,136696472
France,Viet Nam,2004,278275991
France,Viet Nam,2005,265577379
France,Viet Nam,2006,509763804
France,Viet Nam,2007,448834174
France,Viet Nam,2008,98307681
France,Viet Nam,2009,293538524
France,Viet Nam,2010,321048491
France,Viet Nam,2011,195479674
France,Viet Nam,2012,142796862
France,Viet Nam,2013,184188072
France,Virgin Islands (UK),1995,325760
France,Wallis & Futuna,1990,3306694
France,Wallis & Futuna,1991,5784889
France,Wallis & Futuna,1992,7318190
France,Wallis & Futuna,1993,2400955
France,Wallis & Futuna,1994,746276
France,Wallis & Futuna,1995,3357851
France,Wallis & Futuna,1996,188320
France,Wallis & Futuna,1998,29748308
France,Wallis & Futuna,1999,30683547
France,Wallis & Futuna,2000,480593
France,Wallis & Futuna,2001,96657987
France,Wallis & Futuna,2002,99299742
France,Wallis & Futuna,2003,75892576
France,Wallis & Futuna,2004,88285351
France,Wallis & Futuna,2005,2311829
France,Wallis & Futuna,2006,2807
France,Wallis & Futuna,2007,126310486
France,Wallis & Futuna,2008,151463582
France,Wallis & Futuna,2009,120715080
France,Wallis & Futuna,2010,131602214
France,Wallis & Futuna,2011,123094928
France,Wallis & Futuna,2012,121553906
France,Wallis & Futuna,2013,100370813
France,"West Indies, Regional Programs, Regional Programs",1991,1012489
France,"West Indies, Regional Programs, Regional Programs",1992,1702762
France,"West Indies, Regional Programs, Regional Programs",1993,4992693
France,"West Indies, Regional Programs, Regional Programs",2000,2837485
France,"West Indies, Regional Programs, Regional Programs",2009,164231
France,"West Indies, Regional Programs, Regional Programs",2011,2945316
France,Yemen,1990,29698465
France,Yemen,1991,33846069
France,Yemen,1992,22703505
France,Yemen,1993,19524499
France,Yemen,1994,23835573
France,Yemen,1995,2212017
France,Yemen,1996,3071204
France,Yemen,1997,19650871
France,Yemen,1998,7785649
France,Yemen,1999,6411630
France,Yemen,2000,6944573
France,Yemen,2001,4401262
France,Yemen,2002,7989250
France,Yemen,2003,11498774
France,Yemen,2004,6274049
France,Yemen,2005,88569282
France,Yemen,2006,11242299
France,Yemen,2007,10115266
France,Yemen,2008,42370379
France,Yemen,2009,6381719
France,Yemen,2010,59900938
France,Yemen,2011,2808001
France,Yemen,2012,3478804
France,Yemen,2013,4350244
France,Zambia,1990,890954
France,Zambia,1992,2837938
France,Zambia,1993,8367642
France,Zambia,1994,1367067
France,Zambia,1995,737596
France,Zambia,1996,2489154
France,Zambia,1997,848201
France,Zambia,1998,32322863
France,Zambia,1999,28478099
France,Zambia,2000,19372472
France,Zambia,2001,18354277
France,Zambia,2002,10485464
France,Zambia,2003,6002311
France,Zambia,2004,136068459
France,Zambia,2005,19401383
France,Zambia,2006,103328944
France,Zambia,2007,1194087
France,Zambia,2008,13401822
France,Zambia,2009,8187943
France,Zambia,2010,883622
France,Zambia,2011,815082
France,Zambia,2012,73627277
France,Zambia,2013,594361
France,Zimbabwe,1990,2732259
France,Zimbabwe,1991,25601514
France,Zimbabwe,1992,2837938
France,Zimbabwe,1993,22453175
France,Zimbabwe,1994,3691386
France,Zimbabwe,1995,25092498
France,Zimbabwe,1996,3871750
France,Zimbabwe,1997,2333141
France,Zimbabwe,1998,3503193
France,Zimbabwe,1999,14372898
France,Zimbabwe,2000,2324604
France,Zimbabwe,2001,3529431
France,Zimbabwe,2002,1896648
France,Zimbabwe,2003,12097836
France,Zimbabwe,2004,3364015
France,Zimbabwe,2005,5211329
France,Zimbabwe,2006,3863601
France,Zimbabwe,2007,16858721
France,Zimbabwe,2008,6366907
France,Zimbabwe,2009,6444019
France,Zimbabwe,2010,5102904
France,Zimbabwe,2011,1812700
France,Zimbabwe,2012,3053739
France,Zimbabwe,2013,30477226
Germany,Afghanistan,1995,7529022
Germany,Afghanistan,1996,10278197
Germany,Afghanistan,1997,17748347
Germany,Afghanistan,1998,4985080
Germany,Afghanistan,1999,23693979
Germany,Afghanistan,2000,18012246
Germany,Afghanistan,2001,111759137
Germany,Afghanistan,2002,220833246
Germany,Afghanistan,2003,93531685
Germany,Afghanistan,2004,106466447
Germany,Afghanistan,2005,120729631
Germany,Afghanistan,2006,161689756
Germany,Afghanistan,2007,262195202
Germany,Afghanistan,2008,341637583
Germany,Afghanistan,2009,327102705
Germany,Afghanistan,2010,647848672
Germany,Afghanistan,2011,612637375
Germany,Afghanistan,2012,518374775
Germany,Afghanistan,2013,741246334
Germany,"Africa, North of Sahara, Regional Programs",1999,23627
Germany,"Africa, North of Sahara, Regional Programs",2000,54711
Germany,"Africa, North of Sahara, Regional Programs",2001,431236
Germany,"Africa, North of Sahara, Regional Programs",2002,6309501
Germany,"Africa, North of Sahara, Regional Programs",2003,8614836
Germany,"Africa, North of Sahara, Regional Programs",2004,4991074
Germany,"Africa, North of Sahara, Regional Programs",2005,17082741
Germany,"Africa, North of Sahara, Regional Programs",2006,6574628
Germany,"Africa, North of Sahara, Regional Programs",2007,9443613
Germany,"Africa, North of Sahara, Regional Programs",2008,111185256
Germany,"Africa, North of Sahara, Regional Programs",2009,43879445
Germany,"Africa, North of Sahara, Regional Programs",2010,50628770
Germany,"Africa, North of Sahara, Regional Programs",2011,75326883
Germany,"Africa, North of Sahara, Regional Programs",2012,32383198
Germany,"Africa, North of Sahara, Regional Programs",2013,119877796
Germany,"Africa, Regional Programs, Regional Programs",1997,10256638
Germany,"Africa, Regional Programs, Regional Programs",1998,8266750
Germany,"Africa, Regional Programs, Regional Programs",1999,41450078
Germany,"Africa, Regional Programs, Regional Programs",2000,19777379
Germany,"Africa, Regional Programs, Regional Programs",2001,70170095
Germany,"Africa, Regional Programs, Regional Programs",2002,60108268
Germany,"Africa, Regional Programs, Regional Programs",2003,37894257
Germany,"Africa, Regional Programs, Regional Programs",2004,117018315
Germany,"Africa, Regional Programs, Regional Programs",2005,118178856
Germany,"Africa, Regional Programs, Regional Programs",2006,14167285
Germany,"Africa, Regional Programs, Regional Programs",2007,154289282
Germany,"Africa, Regional Programs, Regional Programs",2008,316312571
Germany,"Africa, Regional Programs, Regional Programs",2009,344155693
Germany,"Africa, Regional Programs, Regional Programs",2010,266396303
Germany,"Africa, Regional Programs, Regional Programs",2011,263624383
Germany,"Africa, Regional Programs, Regional Programs",2012,390676541
Germany,"Africa, Regional Programs, Regional Programs",2013,573046945
Germany,"Africa, South of Sahara, Regional Programs",1990,158783092
Germany,"Africa, South of Sahara, Regional Programs",1993,4186825
Germany,"Africa, South of Sahara, Regional Programs",1996,5464197
Germany,"Africa, South of Sahara, Regional Programs",1997,63336270
Germany,"Africa, South of Sahara, Regional Programs",1999,9767858
Germany,"Africa, South of Sahara, Regional Programs",2000,14958242
Germany,"Africa, South of Sahara, Regional Programs",2001,14142337
Germany,"Africa, South of Sahara, Regional Programs",2002,57329966
Germany,"Africa, South of Sahara, Regional Programs",2003,27793106
Germany,"Africa, South of Sahara, Regional Programs",2004,44521512
Germany,"Africa, South of Sahara, Regional Programs",2005,44194048
Germany,"Africa, South of Sahara, Regional Programs",2006,141175821
Germany,"Africa, South of Sahara, Regional Programs",2007,120896565
Germany,"Africa, South of Sahara, Regional Programs",2008,126192264
Germany,"Africa, South of Sahara, Regional Programs",2009,168597243
Germany,"Africa, South of Sahara, Regional Programs",2010,185261124
Germany,"Africa, South of Sahara, Regional Programs",2011,224331894
Germany,"Africa, South of Sahara, Regional Programs",2012,295569842
Germany,"Africa, South of Sahara, Regional Programs",2013,469184681
Germany,Albania,1992,32214627
Germany,Albania,1993,18422031
Germany,Albania,1994,9803140
Germany,Albania,1995,36148275
Germany,Albania,1996,43969832
Germany,Albania,1997,32215277
Germany,Albania,1998,31114147
Germany,Albania,1999,65555082
Germany,Albania,2000,60060087
Germany,Albania,2001,27127342
Germany,Albania,2002,35019135
Germany,Albania,2003,41668444
Germany,Albania,2004,78262789
Germany,Albania,2005,61226252
Germany,Albania,2006,37443775
Germany,Albania,2007,59942703
Germany,Albania,2008,44485009
Germany,Albania,2009,21205620
Germany,Albania,2010,213212085
Germany,Albania,2011,26004161
Germany,Albania,2012,47000636
Germany,Albania,2013,24309500
Germany,Algeria,1991,28156527
Germany,Algeria,1992,26119968
Germany,Algeria,1994,14134494
Germany,Algeria,1995,824060670
Germany,Algeria,1996,17488491
Germany,Algeria,1997,5136754
Germany,Algeria,1998,1896935
Germany,Algeria,1999,10783593
Germany,Algeria,2000,14672183
Germany,Algeria,2001,18362107
Germany,Algeria,2002,8421675
Germany,Algeria,2003,19018218
Germany,Algeria,2004,5288039
Germany,Algeria,2005,44644451
Germany,Algeria,2006,6022544
Germany,Algeria,2007,21059120
Germany,Algeria,2008,9631931
Germany,Algeria,2009,13061208
Germany,Algeria,2010,20752204
Germany,Algeria,2011,11358907
Germany,Algeria,2012,4244985
Germany,Algeria,2013,6150448
Germany,"America, Regional Programs, Regional Programs",1997,4311480
Germany,"America, Regional Programs, Regional Programs",1998,4389603
Germany,"America, Regional Programs, Regional Programs",1999,24049220
Germany,"America, Regional Programs, Regional Programs",2000,72217634
Germany,"America, Regional Programs, Regional Programs",2001,48643307
Germany,"America, Regional Programs, Regional Programs",2002,38364645
Germany,"America, Regional Programs, Regional Programs",2003,68754007
Germany,"America, Regional Programs, Regional Programs",2004,51603266
Germany,"America, Regional Programs, Regional Programs",2005,44129868
Germany,"America, Regional Programs, Regional Programs",2006,105653091
Germany,"America, Regional Programs, Regional Programs",2007,73868742
Germany,"America, Regional Programs, Regional Programs",2008,326611274
Germany,"America, Regional Programs, Regional Programs",2009,403514608
Germany,"America, Regional Programs, Regional Programs",2010,161678994
Germany,"America, Regional Programs, Regional Programs",2011,389961670
Germany,"America, Regional Programs, Regional Programs",2012,250715338
Germany,"America, Regional Programs, Regional Programs",2013,662244848
Germany,Angola,1993,2512095
Germany,Angola,1995,12237363
Germany,Angola,1996,17805991
Germany,Angola,1997,12028542
Germany,Angola,1998,5142174
Germany,Angola,1999,23616036
Germany,Angola,2000,13633437
Germany,Angola,2001,13934878
Germany,Angola,2002,23830803
Germany,Angola,2003,22598824
Germany,Angola,2004,10498528
Germany,Angola,2005,10705956
Germany,Angola,2006,10842657
Germany,Angola,2007,6743857
Germany,Angola,2008,8641136
Germany,Angola,2009,6771756
Germany,Angola,2010,8863224
Germany,Angola,2011,6583028
Germany,Angola,2012,4399656
Germany,Angola,2013,3461081
Germany,Anguilla,2003,1316
Germany,Anguilla,2009,22990
Germany,Anguilla,2010,219402
Germany,Antigua & Barbuda,1999,15752
Germany,Antigua & Barbuda,2000,5173
Germany,Antigua & Barbuda,2001,46
Germany,Antigua & Barbuda,2003,18111
Germany,Antigua & Barbuda,2005,2294
Germany,Antigua & Barbuda,2006,2733
Germany,Antigua & Barbuda,2008,7631
Germany,Antigua & Barbuda,2010,12387
Germany,Antigua & Barbuda,2011,39637
Germany,Antigua & Barbuda,2012,13458
Germany,Antigua & Barbuda,2013,4807
Germany,Argentina,1990,71402874
Germany,Argentina,1992,42896823
Germany,Argentina,1993,64603552
Germany,Argentina,1997,12052485
Germany,Argentina,1998,2442975
Germany,Argentina,1999,32066418
Germany,Argentina,2000,17091046
Germany,Argentina,2001,15532339
Germany,Argentina,2002,19100736
Germany,Argentina,2003,16352381
Germany,Argentina,2004,11586407
Germany,Argentina,2005,12594794
Germany,Argentina,2006,10914550
Germany,Argentina,2007,44144064
Germany,Argentina,2008,63546372
Germany,Argentina,2009,38092384
Germany,Argentina,2010,23947252
Germany,Argentina,2011,22857464
Germany,Argentina,2012,21920737
Germany,Argentina,2013,22797183
Germany,Armenia,1995,10697282
Germany,Armenia,1996,6491619
Germany,Armenia,1997,22248651
Germany,Armenia,1998,32148474
Germany,Armenia,1999,8663221
Germany,Armenia,2000,10046353
Germany,Armenia,2001,46461214
Germany,Armenia,2002,12003943
Germany,Armenia,2003,36608143
Germany,Armenia,2004,58504925
Germany,Armenia,2005,18710435
Germany,Armenia,2006,15759347
Germany,Armenia,2007,28477436
Germany,Armenia,2008,45885661
Germany,Armenia,2009,104637544
Germany,Armenia,2010,175915392
Germany,Armenia,2011,12904244
Germany,Armenia,2012,90175326
Germany,Armenia,2013,57481427
Germany,"Asia, Regional Programs, Regional Programs",1997,453117
Germany,"Asia, Regional Programs, Regional Programs",1998,725658
Germany,"Asia, Regional Programs, Regional Programs",1999,35932436
Germany,"Asia, Regional Programs, Regional Programs",2000,26395925
Germany,"Asia, Regional Programs, Regional Programs",2001,51896106
Germany,"Asia, Regional Programs, Regional Programs",2002,59817639
Germany,"Asia, Regional Programs, Regional Programs",2003,28011133
Germany,"Asia, Regional Programs, Regional Programs",2004,75613642
Germany,"Asia, Regional Programs, Regional Programs",2005,73111619
Germany,"Asia, Regional Programs, Regional Programs",2006,114438982
Germany,"Asia, Regional Programs, Regional Programs",2007,81363938
Germany,"Asia, Regional Programs, Regional Programs",2008,360568743
Germany,"Asia, Regional Programs, Regional Programs",2009,464111129
Germany,"Asia, Regional Programs, Regional Programs",2010,205738904
Germany,"Asia, Regional Programs, Regional Programs",2011,197599167
Germany,"Asia, Regional Programs, Regional Programs",2012,267186473
Germany,"Asia, Regional Programs, Regional Programs",2013,504535813
Germany,Azerbaijan,1995,5959308
Germany,Azerbaijan,1996,10537639
Germany,Azerbaijan,1997,16843638
Germany,Azerbaijan,1998,27606562
Germany,Azerbaijan,1999,19409665
Germany,Azerbaijan,2000,32493571
Germany,Azerbaijan,2001,15161603
Germany,Azerbaijan,2002,9433748
Germany,Azerbaijan,2003,35666815
Germany,Azerbaijan,2004,19570983
Germany,Azerbaijan,2005,12539581
Germany,Azerbaijan,2006,60126124
Germany,Azerbaijan,2007,63088620
Germany,Azerbaijan,2008,53158509
Germany,Azerbaijan,2009,56281972
Germany,Azerbaijan,2010,7130000
Germany,Azerbaijan,2011,8349367
Germany,Azerbaijan,2012,153809872
Germany,Azerbaijan,2013,7958578
Germany,Bahamas,2001,9938
Germany,Bahrain,1999,47015
Germany,Bahrain,2000,50147
Germany,Bahrain,2001,49427
Germany,Bahrain,2002,49605
Germany,Bahrain,2003,72337
Germany,Bahrain,2004,35467
Germany,Bangladesh,1990,93516790
Germany,Bangladesh,1991,9176888
Germany,Bangladesh,1992,108223734
Germany,Bangladesh,1993,78174728
Germany,Bangladesh,1994,66743048
Germany,Bangladesh,1995,50102711
Germany,Bangladesh,1996,91182687
Germany,Bangladesh,1997,24671145
Germany,Bangladesh,1998,115886821
Germany,Bangladesh,1999,17075163
Germany,Bangladesh,2000,37393616
Germany,Bangladesh,2001,17895678
Germany,Bangladesh,2002,65062091
Germany,Bangladesh,2003,112324727
Germany,Bangladesh,2004,40960307
Germany,Bangladesh,2005,37504334
Germany,Bangladesh,2006,121770380
Germany,Bangladesh,2007,106344293
Germany,Bangladesh,2008,77324948
Germany,Bangladesh,2009,59587984
Germany,Bangladesh,2010,35436917
Germany,Bangladesh,2011,94671573
Germany,Bangladesh,2012,86474703
Germany,Bangladesh,2013,79221228
Germany,Barbados,1999,27565
Germany,Barbados,2000,59922
Germany,Barbados,2001,72031
Germany,Barbados,2002,12322
Germany,Barbados,2003,41380
Germany,Barbados,2005,2294
Germany,Barbados,2006,25553
Germany,Barbados,2008,16946
Germany,Barbados,2009,9186
Germany,Barbados,2010,104905
Germany,Belarus,1996,35017
Germany,Belarus,2001,10160820
Germany,Belarus,2002,14593458
Germany,Belarus,2003,10131522
Germany,Belarus,2004,17384845
Germany,Belarus,2005,4327376
Germany,Belarus,2006,19100091
Germany,Belarus,2007,20736559
Germany,Belarus,2008,21663710
Germany,Belarus,2009,23501708
Germany,Belarus,2010,17331545
Germany,Belarus,2011,16673600
Germany,Belarus,2012,18053716
Germany,Belarus,2013,11477028
Germany,Belize,1999,197308
Germany,Belize,2000,283397
Germany,Belize,2001,231797
Germany,Belize,2002,131245
Germany,Belize,2003,98568
Germany,Belize,2004,83126
Germany,Belize,2006,48420
Germany,Belize,2007,19854
Germany,Belize,2008,19094
Germany,Belize,2009,38351
Germany,Belize,2010,118524
Germany,Belize,2011,134034
Germany,Belize,2012,24984
Germany,Belize,2013,99727
Germany,Benin,1990,15711756
Germany,Benin,1992,55945489
Germany,Benin,1993,5884164
Germany,Benin,1994,37659580
Germany,Benin,1995,33119365
Germany,Benin,1996,23875
Germany,Benin,1997,23954511
Germany,Benin,1998,33708296
Germany,Benin,1999,24241850
Germany,Benin,2000,37494009
Germany,Benin,2001,38694273
Germany,Benin,2002,47045938
Germany,Benin,2003,19962816
Germany,Benin,2004,59504288
Germany,Benin,2005,12290246
Germany,Benin,2006,47549718
Germany,Benin,2007,22863570
Germany,Benin,2008,23171795
Germany,Benin,2009,92435657
Germany,Benin,2010,39551327
Germany,Benin,2011,70460296
Germany,Benin,2012,33261569
Germany,Benin,2013,28301342
Germany,Bermuda,1990,60626848
Germany,Bermuda,2003,13817
Germany,Bermuda,2004,36740
Germany,Bhutan,1995,65672
Germany,Bhutan,1996,61279
Germany,Bhutan,1997,273595
Germany,Bhutan,1998,7891
Germany,Bhutan,1999,8808581
Germany,Bhutan,2000,587370
Germany,Bhutan,2001,322553
Germany,Bhutan,2002,178326
Germany,Bhutan,2003,148129
Germany,Bhutan,2004,83245
Germany,Bhutan,2005,103355
Germany,Bhutan,2006,199368
Germany,Bhutan,2007,132896
Germany,Bhutan,2008,81764
Germany,Bhutan,2009,712964
Germany,Bhutan,2010,400123
Germany,Bhutan,2011,619480
Germany,Bhutan,2012,351620
Germany,Bhutan,2013,1339729
Germany,"Bilateral, unspecified",1993,6698921
Germany,"Bilateral, unspecified",1995,2244851
Germany,"Bilateral, unspecified",1996,994793
Germany,"Bilateral, unspecified",1997,18889476
Germany,"Bilateral, unspecified",1998,23401580
Germany,"Bilateral, unspecified",1999,299776125
Germany,"Bilateral, unspecified",2000,702646374
Germany,"Bilateral, unspecified",2001,602155182
Germany,"Bilateral, unspecified",2002,773235074
Germany,"Bilateral, unspecified",2003,790584505
Germany,"Bilateral, unspecified",2004,728020591
Germany,"Bilateral, unspecified",2005,825973058
Germany,"Bilateral, unspecified",2006,1042134644
Germany,"Bilateral, unspecified",2007,1099610809
Germany,"Bilateral, unspecified",2008,1160612848
Germany,"Bilateral, unspecified",2009,1520444559
Germany,"Bilateral, unspecified",2010,2305562988
Germany,"Bilateral, unspecified",2011,2454273166
Germany,"Bilateral, unspecified",2012,1964214638
Germany,"Bilateral, unspecified",2013,2226735667
Germany,Bolivia,1990,13045592
Germany,Bolivia,1991,121212006
Germany,Bolivia,1992,59205261
Germany,Bolivia,1993,136280327
Germany,Bolivia,1994,36050232
Germany,Bolivia,1995,170712819
Germany,Bolivia,1996,281801144
Germany,Bolivia,1997,50602858
Germany,Bolivia,1998,39664108
Germany,Bolivia,1999,92453099
Germany,Bolivia,2000,108833342
Germany,Bolivia,2001,67316132
Germany,Bolivia,2002,595835105
Germany,Bolivia,2003,86093330
Germany,Bolivia,2004,55617014
Germany,Bolivia,2005,31577731
Germany,Bolivia,2006,51261162
Germany,Bolivia,2007,69150910
Germany,Bolivia,2008,88258133
Germany,Bolivia,2009,28059246
Germany,Bolivia,2010,55414763
Germany,Bolivia,2011,57120610
Germany,Bolivia,2012,46020996
Germany,Bolivia,2013,60720067
Germany,Bosnia-Herzegovina,1995,3203498
Germany,Bosnia-Herzegovina,1996,20545252
Germany,Bosnia-Herzegovina,1997,23079642
Germany,Bosnia-Herzegovina,1998,26185438
Germany,Bosnia-Herzegovina,1999,147533506
Germany,Bosnia-Herzegovina,2000,164421610
Germany,Bosnia-Herzegovina,2001,46653945
Germany,Bosnia-Herzegovina,2002,41869768
Germany,Bosnia-Herzegovina,2003,32603344
Germany,Bosnia-Herzegovina,2004,63440338
Germany,Bosnia-Herzegovina,2005,29313417
Germany,Bosnia-Herzegovina,2006,29101785
Germany,Bosnia-Herzegovina,2007,56013721
Germany,Bosnia-Herzegovina,2008,77185432
Germany,Bosnia-Herzegovina,2009,73322914
Germany,Bosnia-Herzegovina,2010,124675090
Germany,Bosnia-Herzegovina,2011,119192485
Germany,Bosnia-Herzegovina,2012,21524445
Germany,Bosnia-Herzegovina,2013,125027465
Germany,Botswana,1990,2805504
Germany,Botswana,1991,5081243
Germany,Botswana,1992,24394309
Germany,Botswana,1996,9752151
Germany,Botswana,1999,7279181
Germany,Botswana,2000,4364547
Germany,Botswana,2001,4918520
Germany,Botswana,2002,4046519
Germany,Botswana,2003,3230269
Germany,Botswana,2004,3995439
Germany,Botswana,2005,2153147
Germany,Botswana,2006,1626791
Germany,Botswana,2007,3462500
Germany,Botswana,2008,435321607
Germany,Botswana,2009,1737230
Germany,Botswana,2010,1651911
Germany,Botswana,2011,2581294
Germany,Botswana,2012,427860
Germany,Botswana,2013,111510
Germany,Brazil,1990,14869169
Germany,Brazil,1992,36567956
Germany,Brazil,1993,175309076
Germany,Brazil,1995,62873458
Germany,Brazil,1996,77195904
Germany,Brazil,1997,33781110
Germany,Brazil,1998,46424433
Germany,Brazil,1999,93762467
Germany,Brazil,2000,86064297
Germany,Brazil,2001,104818763
Germany,Brazil,2002,103967020
Germany,Brazil,2003,126078181
Germany,Brazil,2004,112659858
Germany,Brazil,2005,138798918
Germany,Brazil,2006,88887419
Germany,Brazil,2007,90896983
Germany,Brazil,2008,140383890
Germany,Brazil,2009,269959488
Germany,Brazil,2010,301612818
Germany,Brazil,2011,304984483
Germany,Brazil,2012,261846605
Germany,Brazil,2013,141450302
Germany,Brunei,2001,2929
Germany,Brunei,2002,26201
Germany,Brunei,2003,61443
Germany,Brunei,2004,64261
Germany,Bulgaria,1992,120396790
Germany,Bulgaria,1993,25917627
Germany,Bulgaria,1998,19207652
Germany,Bulgaria,2000,792922
Germany,Bulgaria,2001,57440042
Germany,Bulgaria,2002,80154267
Germany,Bulgaria,2003,120771443
Germany,Bulgaria,2004,155896655
Germany,Burkina Faso,1990,63207997
Germany,Burkina Faso,1991,15141865
Germany,Burkina Faso,1992,18005365
Germany,Burkina Faso,1993,21604019
Germany,Burkina Faso,1994,37578705
Germany,Burkina Faso,1995,68775905
Germany,Burkina Faso,1996,29298631
Germany,Burkina Faso,1997,4815763
Germany,Burkina Faso,1998,12788264
Germany,Burkina Faso,1999,81031922
Germany,Burkina Faso,2000,15218189
Germany,Burkina Faso,2001,48058596
Germany,Burkina Faso,2002,31638023
Germany,Burkina Faso,2003,51595845
Germany,Burkina Faso,2004,19742058
Germany,Burkina Faso,2005,55768343
Germany,Burkina Faso,2006,25288248
Germany,Burkina Faso,2007,50726611
Germany,Burkina Faso,2008,27795034
Germany,Burkina Faso,2009,76239852
Germany,Burkina Faso,2010,42847631
Germany,Burkina Faso,2011,60229539
Germany,Burkina Faso,2012,50381683
Germany,Burkina Faso,2013,74291118
Germany,Burundi,1990,14962686
Germany,Burundi,1991,16977242
Germany,Burundi,1992,31343961
Germany,Burundi,1993,20934126
Germany,Burundi,1994,19426556
Germany,Burundi,1995,5467570
Germany,Burundi,1996,1700697
Germany,Burundi,1997,897661
Germany,Burundi,1998,244613
Germany,Burundi,1999,1882890
Germany,Burundi,2000,7439054
Germany,Burundi,2001,10463054
Germany,Burundi,2002,8639957
Germany,Burundi,2003,14604874
Germany,Burundi,2004,22391841
