sender_iso3,recipient_iso3,year,arms_tiv,bilateral_debt,ucdp_troops,ucdp_weapons,ucdp_training,ucdp_funding,bilateral_aid,colonial_tie,journalist_killings,oda_received,us_intervention
AUT,SVN,2007,2.4,,0,0,0,0,,0,0.0,,0
AUT,THA,1996,18.0,,0,0,0,0,2720683.0,0,0.0,823130009.215325,0
AUT,THA,1998,18.0,,0,0,0,0,2143363.0,0,1.0,690349980.957806,0
AUT,THA,2009,2.1,,0,0,0,0,986619.0,0,0.0,-71129997.7041784,0
AUT,THA,2010,3.1,,0,0,0,0,884070.0,0,2.0,-76709991.0490216,0
AUT,THA,2011,1.5,,0,0,0,0,910128.0,0,1.0,-159990000.236779,0
AUT,TKM,2011,3.2,,0,0,0,0,58793.0,0,0.0,16470000.2707541,0
AUT,TUN,1997,2.6,,0,0,0,0,751836.0,0,0.0,208279996.121302,0
AUT,UGA,2009,0.56,,0,0,0,0,10920944.0,0,0.0,1144809996.38885,0
AUT,UGA,2010,1.12,,0,0,0,0,13533863.0,0,2.0,1129819984.25908,0
AUT,USA,2000,1.8,,0,0,0,0,,0,1.0,,0
AUT,USA,2001,1.8,,0,0,0,0,,0,2.0,,0
AUT,USA,2006,3.3,,0,0,0,0,,0,0.0,,0
AUT,USA,2007,3.0,,0,0,0,0,,0,1.0,,0
AUT,USA,2009,3.0,,0,0,0,0,,0,0.0,,0
AUT,USA,2010,1.0,,0,0,0,0,,0,0.0,,0
AUT,USA,2011,1.0,,0,0,0,0,,0,0.0,,0
AUT,VEN,2009,0.5,,0,0,0,0,206928.0,0,1.0,50320000.4231185,0
AUT,VEN,2010,0.5,,0,0,0,0,237991.0,0,0.0,43249999.5660037,1
AUT,VEN,2011,1.0,,0,0,0,0,298098.0,0,1.0,38229999.281466,0
AUT,VEN,2012,1.0,,0,0,0,0,317743.0,0,0.0,39088214.6582007,0
BEL,BEN,2002,6.8,,0,0,0,0,27909742.0,0,0.0,167960002.753884,0
BEL,BEN,2007,2.76,,0,0,0,0,20077497.0,0,0.0,319980004.223064,0
BEL,BEN,2009,0.96,,0,0,0,0,24063756.0,0,0.0,472300001.326948,0
BEL,BGR,2005,132.0,,0,0,0,0,,0,0.0,,0
BEL,BGR,2008,80.0,,0,0,0,0,,0,1.0,,0
BEL,BGR,2009,102.0,,0,0,0,0,,0,0.0,,0
BEL,BHR,2008,16.08,,0,0,0,0,,0,0.0,,0
BEL,BRA,1997,23.52,,0,0,0,0,5353930.0,0,2.0,209900000.173599,0
BEL,BRA,1998,22.68,,0,0,0,0,5200029.0,0,2.0,236630000.699312,0
BEL,BRA,1999,48.88,,0,0,0,0,6123827.0,0,0.0,128559995.558113,0
BEL,BRA,2000,34.22,,0,0,0,0,8831294.0,0,1.0,239510000.716895,0
BEL,BRA,2001,6.2,,0,0,0,0,5048780.0,0,1.0,226480004.567653,0
BEL,CHL,1995,139.73000000000002,,0,0,0,0,8088210.0,0,0.0,155369998.166338,0
BEL,CHL,1996,31.28,,0,0,0,0,3953595.0,0,0.0,193069998.12834,0
BEL,CHL,2006,50.04,,0,0,0,0,1016378.0,0,0.0,91280001.282692,0
BEL,CHL,2009,2.52,,0,0,0,0,1280986.0,0,0.0,70800001.429394,0
BEL,COD,2002,11.2,,0,0,0,0,109599611.0,1,0.0,423049998.285249,0
BEL,EST,2010,0.9,,0,0,0,0,,0,0.0,,0
BEL,FRA,1997,66.0,,0,0,0,0,,0,0.0,,0
BEL,FRA,2009,2.6,,0,0,0,0,,0,0.0,,0
BEL,GBR,2013,20.0,,0,0,0,0,,0,0.0,,0
BEL,IDN,2013,13.2,,0,0,0,0,2937271.0,0,0.0,79689936.5137805,0
BEL,JOR,2000,10.0,,0,0,0,0,256230.0,0,0.0,465529994.977638,0
BEL,JOR,2001,16.6,,0,0,0,0,,0,0.0,347620005.475358,0
BEL,JOR,2005,28.4,,0,0,0,0,302852.0,0,0.0,478909986.577929,0
BEL,JOR,2007,10.3,,0,0,0,0,679065.0,0,0.0,359240013.165399,0
BEL,JOR,2008,95.7,,0,0,0,0,84184.0,0,0.0,535379981.55132,0
BEL,JOR,2009,91.2,,0,0,0,0,122901.0,0,0.0,572049987.208099,0
BEL,JOR,2010,0.6,,0,0,0,0,63314.0,0,0.0,541450000.876561,0
BEL,JOR,2011,102.6,,0,0,0,0,148737.0,0,0.0,595740013.18775,0
BEL,KWT,1998,5.6,,0,0,0,0,,0,0.0,,0
BEL,KWT,1999,4.9,,0,0,0,0,,0,0.0,,0
BEL,LBN,2009,6.96,,0,0,0,0,3896603.0,0,0.0,463499999.716878,0
BEL,LBN,2010,2.16,,0,0,0,0,2989635.0,0,1.0,316790002.105758,0
BEL,MAR,2008,18.92,,0,0,0,0,45901679.0,0,0.0,943870007.33614,0
BEL,MAR,2009,36.099999999999994,,0,0,0,0,15801777.0,0,0.0,987230017.42363,0
BEL,MEX,1994,38.86,,0,0,0,0,1656649.0,0,3.0,411719993.086532,0
BEL,MEX,1995,21.21,,0,0,0,0,1358126.0,0,1.0,373540007.553995,0
BEL,MEX,1996,26.93,,0,0,0,0,310157.0,0,0.0,282819996.753708,0
BEL,PHL,1996,3.0,,0,0,0,0,9186361.0,0,2.0,799030012.764036,0
BEL,PHL,1997,3.6,,0,0,0,0,6200398.0,0,1.0,595949991.980568,0
BEL,PHL,1998,0.6,,0,0,0,0,9261111.0,0,2.0,549779986.206442,0
BEL,QAT,1998,16.8,,0,0,0,0,,0,0.0,,0
BEL,QAT,1999,8.4,,0,0,0,0,,0,0.0,,0
BEL,SAU,2000,1.4,,0,0,0,0,,0,0.0,17990000.0952184,0
BEL,SAU,2001,14.0,,0,0,0,0,,0,0.0,10549999.9467284,0
BEL,SAU,2002,14.0,,0,0,0,0,,0,0.0,13580000.0242889,0
BEL,SAU,2003,14.7,,0,0,0,0,,0,0.0,10080000.0540912,0
BEL,SAU,2004,46.9,,0,0,0,0,,0,1.0,8660000.27209521,0
BEL,SAU,2006,7.0,,0,0,0,0,,0,0.0,11160000.2013147,0
BEL,SAU,2011,7.0,,0,0,0,0,,0,0.0,,0
BEL,SAU,2012,21.0,,0,0,0,0,,0,0.0,,0
BEL,SAU,2013,21.0,,0,0,0,0,,0,0.0,,0
BEL,TCD,2007,18.48,,0,0,0,0,185418.0,0,0.0,302599994.245917,0
BEL,TCD,2008,12.01,,0,0,0,0,380848.0,0,0.0,425560003.485531,0
BEL,TCD,2010,7.39,,0,0,0,0,7866794.0,0,0.0,391630010.27517,0
BEL,URY,2008,0.3,,0,0,0,0,18310.0,0,0.0,24179999.5731563,0
BGR,AGO,1993,27.72,,0,0,0,0,,0,3.0,196009998.50221,0
BGR,AGO,1999,24.14,,0,0,0,0,,0,1.0,304740001.747385,0
BGR,ARE,2003,18.0,,0,0,0,0,,0,0.0,9999.99977648258,0
BGR,AZE,2002,9.36,,0,0,0,0,,0,0.0,254599996.004254,0
BGR,CIV,2000,0.16,,0,0,0,0,,0,0.0,253009994.188324,0
BGR,CIV,2002,4.8,,0,0,0,0,,0,0.0,836099980.745465,1
BGR,CIV,2003,19.9,,0,0,0,0,,0,2.0,287760000.796989,0
BGR,COD,2013,1.2,,0,0,0,0,,0,0.0,1525595063.07356,0
BGR,COG,1998,1.8,,0,0,0,0,,0,1.0,60409999.7915327,0
BGR,COG,1999,1.2,,0,0,0,0,,0,0.0,123580003.257841,0
BGR,CZE,1999,0.16,,0,0,0,0,,0,0.0,314149999.313057,0
BGR,CZE,2000,0.24,,0,0,0,0,,0,0.0,435220013.312995,0
BGR,ERI,1999,12.6,,0,0,0,0,,0,0.0,86510000.84728,0
BGR,ERI,2004,9.54,,0,0,0,0,,0,0.0,188620000.869036,1
BGR,ERI,2005,69.0,,0,0,0,0,,0,0.0,255369999.468327,1
BGR,EST,1997,1.4,,0,0,0,0,,0,0.0,62080000.512302,0
BGR,ETH,1998,25.0,,0,0,0,0,,0,2.0,480630004.357546,0
BGR,ETH,1999,50.0,,0,0,0,0,,0,0.0,408480001.822114,0
BGR,ETH,2002,20.0,,0,0,0,0,,0,0.0,606609996.363521,0
BGR,ETH,2004,9.0,,0,0,0,0,,0,0.0,1139459990.3319,1
BGR,GEO,2001,9.76,,0,0,0,0,,0,1.0,175059994.680807,0
BGR,GEO,2004,1.4,,0,0,0,0,,0,0.0,245270002.707839,0
