recipient_iso3,year,arms_tiv_in_strength_lag1,arms_tiv_out_strength_lag1,arms_tiv_dependency_balance_lag1,arms_tiv_in_concentration_lag1,arms_tiv_pagerank_lag1,bilateral_oda_in_strength_lag1,bilateral_oda_out_strength_lag1,bilateral_oda_dependency_balance_lag1,bilateral_oda_in_concentration_lag1,bilateral_oda_pagerank_lag1,colonial_tie_in_strength_lag1,colonial_tie_out_strength_lag1,colonial_tie_dependency_balance_lag1,colonial_tie_in_concentration_lag1,colonial_tie_pagerank_lag1,econ_neocol_score_in_strength_lag1,econ_neocol_score_out_strength_lag1,econ_neocol_score_dependency_balance_lag1,econ_neocol_score_in_concentration_lag1,econ_neocol_score_pagerank_lag1
GEO,2013,0.0,0.0,0.0,0.0,0.004032936933209299,38.70148346732214,0.0,3.6813885539300846,0.07120013371258097,0.007250478785451746,0.0,0.0,0.0,0.0,0.004906764378726463,66.93668088819858,0.0,4.2185761079653,0.03948694916268406,0.007622101059364397
GEO,2014,1.824549292051046,0.0,1.0383488092333262,1.0,0.005005516557205313,37.98054049344473,0.0,3.6630625599002857,0.06955875389775783,0.0073870222571459565,0.0,0.0,0.0,0.0,0.00495539405967129,65.34483431722504,0.0,4.194865902694228,0.04049384607386891,0.009302087104522069
GEO,2015,0.8754687373538999,0.0,0.6288586214346804,1.0,0.004165241870876956,32.604620721489724,0.0,3.514663578986856,0.07855613486953368,0.0067023555943374205,0.0,0.0,0.0,0.0,0.00495539405967129,66.00012378409271,0.0,4.204694466913031,0.041210398369330284,0.008057078038866496
GEO,2016,0.0,0.0,0.0,0.0,0.00398129558048797,33.08731702630459,0.0,3.528925380392125,0.07120678771488707,0.0070133769102327555,0.0,0.0,0.0,0.0,0.004930959325395614,67.18453122033296,0.0,4.222217724171886,0.039218051507549145,0.0077100719508933525
GEO,2017,0.0,1.9615022438151495,-1.0856966543963043,0.0,0.0039022403513636664,33.27509973980168,0.0,3.534419135431064,0.06672847283557361,0.007075988396352834,0.0,0.0,0.0,0.0,0.004930959325395624,71.32964488878923,0.0,4.281234071251311,0.03906824049539259,0.008166242642700352
GEO,2018,2.1234584270966104,2.065596134857783,0.0186988101625587,1.0,0.00402396686485471,34.803620258474766,0.0,3.5780490128323144,0.06435182177905559,0.007139441457881787,0.0,0.0,0.0,0.0,0.004980072163920533,67.54764062919217,0.0,4.227528987169352,0.04001578959901854,0.007774921323636525
GEO,2019,5.545060250112571,0.0,1.8787106048370743,0.5421948910334349,0.004442012695883734,40.32785639124192,0.0,3.721536761493642,0.06526902736375784,0.007504125901543552,0.0,0.0,0.0,0.0,0.005004997292225231,65.75068231549656,0.0,4.2009645191831195,0.03983816351591504,0.007637235920487204
GEO,2020,1.9671123567059163,0.0,1.0875892093836979,1.0,0.004145517678883565,39.9465619824599,0.0,3.7122678503022506,0.06807251666786107,0.007666473304133031,0.0,0.0,0.0,0.0,0.005055603606777769,66.26806679652611,0.0,4.208685633651123,0.03984377443917002,0.007519412738595377
GEO,2021,0.0,0.0,0.0,0.0,0.004199790713731057,41.27941386427411,0.0,3.744300297714696,0.07096699167133005,0.00740383174050271,0.0,0.0,0.0,0.0,0.005055603606777767,67.0966832893007,0.0,4.2209285084349135,0.03948188722403808,0.008180376462906112
GEO,2022,0.0,0.0,0.0,0.0,0.003847152597242096,41.689770794016134,0.0,3.7539593316764255,0.06829265813480206,0.006906492215939341,0.0,0.0,0.0,0.0,0.0049309593253956275,66.95154689611745,0.0,4.218794905549471,0.039991880413242746,0.007165996259645233
GEO,2023,1.2412685890696329,0.0,0.8070420399662268,1.0,0.0035150461924676794,36.70979045918555,0.0,3.6299197546169477,0.06144931975320393,0.0064693660359957635,0.0,0.0,0.0,0.0,0.005004997292225227,68.5712952059248,0.0,4.242352057067479,0.03780922405953954,0.0074284585033498555
GEO,2024,0.09531017980432487,0.0,0.09103759238300545,1.0,0.0035360659482914043,36.55621124445805,0.0,3.62583877716635,0.06162255878561042,0.006555425469180629,0.0,0.0,0.0,0.0,0.005030173172185458,59.480599421496564,0.0,4.102322642891882,0.038695246610339275,0.007171186848405528
GHA,1992,,,,,,,,,,,,,,,,,,,,
GHA,1993,0.0,0.0,0.0,0.0,0.003988533920434627,37.331474962588665,0.0,3.646271359283167,0.08321615199426179,0.0054008771126505895,2.0,0.0,1.0986122886681098,0.5,0.005234248652074018,0.0,0.0,0.0,0.0,0.0048780487804878075
GHA,1994,0.0,0.0,0.0,0.0,0.0037646983771436543,36.06245950514507,0.0,3.6126045841474337,0.0856896245366712,0.005338017724106901,2.0,0.0,1.0986122886681098,0.5,0.005137227670487182,0.0,0.0,0.0,0.0,0.004784688995215326
GHA,1995,3.0037004432031678,0.0,1.3872190442694152,0.6852121813626564,0.004110397927596862,33.56658526260397,0.0,3.54288747157725,0.09355208077188927,0.005125480020225768,2.0,0.0,1.0986122886681098,0.5,0.005084669863666831,0.0,0.0,0.0,0.0,0.0048076923076922976
GHA,1996,0.0,0.0,0.0,0.0,0.0037550006118269737,34.351700067410874,0.0,3.565346483616471,0.09461002279993969,0.005109441361241136,2.0,0.0,1.0986122886681098,0.5,0.005162262035301471,67.87773357805342,0.0,4.232332955659045,0.056213308840644294,0.0058197110098335315
GHA,1997,2.567837490479642,0.0,1.2719596672902598,0.6668122238462303,0.004359125152057454,39.2443344636433,0.0,3.694969235289894,0.07789565024489814,0.005388144999704188,2.0,0.0,1.0986122886681098,0.5,0.005187569316628827,68.42524996663344,0.0,4.240250633714051,0.05507310622414571,0.005769114037508301
GHA,1998,1.791759469228055,0.0,1.026672031199051,1.0,0.004038698337874239,38.312092584339844,0.0,3.67153217089255,0.07690717004069969,0.005534337825216778,2.0,0.0,1.0986122886681098,0.5,0.005291649512155363,74.8793516508832,0.0,4.32914460062972,0.04936752760246479,0.006058330300371604
GHA,1999,0.0,0.0,0.0,0.0,0.003918880230911954,36.12732746347594,0.0,3.614353287776644,0.08621174447706528,0.005248258508308899,2.0,0.0,1.0986122886681098,0.5,0.005301793872447095,75.92684939558272,0.0,4.342854962460649,0.04827532610277463,0.006313940461695023
GHA,2000,2.6214750925700194,0.0,1.2868814269739304,0.6497870353221604,0.0048163932635532205,35.23549949798571,0.0,3.590039287425132,0.08818260040923236,0.005250002849995754,2.0,0.0,1.0986122886681098,0.5,0.005269418724279825,72.88757626183627,0.0,4.302544698284434,0.049219990280960906,0.0062263248335469555
GHA,2001,0.8919980393051105,0.0,0.6376334343210684,1.0,0.004152288528375266,37.54156684110123,0.0,3.6517373170924006,0.08319542539939781,0.005517283078006884,2.0,0.0,1.0986122886681098,0.5,0.005457626227597769,80.36110681564406,0.0,4.398897355576533,0.04785836988231307,0.006482478368809673
GHA,2002,4.220624728132431,0.0,1.6526170744523576,0.3875409100730911,0.004596075395410231,35.0870559215534,0.0,3.585934239310385,0.09104768504884585,0.005373879245412146,2.0,0.0,1.0986122886681098,0.5,0.005420921202847348,83.54878856885097,0.0,4.437328747256738,0.04651925022699694,0.006714303134430242
GHA,2003,0.5423242908253617,0.0,0.43329055836428737,1.0,0.003977904313615605,40.06906371572989,0.0,3.71525513042908,0.0774260055610785,0.005488341427261076,2.0,0.0,1.0986122886681098,0.5,0.00543928975536374,85.11726760172812,0.0,4.455709944191247,0.046180115365596415,0.006568872010640291
GHA,2004,1.9572739077056285,0.0,1.0842678668494878,1.0,0.004821493799929812,43.45674646734072,0.0,3.7945167269861177,0.07603945104787366,0.005592396110576903,2.0,0.0,1.0986122886681098,0.5,0.005509388726654773,83.74137715836963,0.0,4.439603996640226,0.044763460961785746,0.007538649202305934
GHA,2005,6.432296799053438,0.0,2.005834936001206,0.4020400304088977,0.004798039733610428,52.75338269194449,0.0,3.984406598831142,0.07128301169450114,0.005718260394874103,2.0,0.0,1.0986122886681098,0.5,0.00548982552910326,86.49530696717389,0.0,4.471585157264309,0.042099614117574735,0.008004105202634818
GHA,2006,0.2776317365982795,2.9987277825337895,-1.140968097759288,1.0,0.004160060816433956,53.795168531694834,0.0,4.003602024587144,0.06385226735039962,0.005612995866533334,2.0,0.0,1.0986122886681098,0.5,0.00557007355144915,89.91308927353045,0.0,4.509903987225421,0.040079733508980656,0.008100571324280029
GHA,2007,0.1988508587451652,0.0,0.18136348027281846,1.0,0.004012518259005493,44.623539308490535,0.0,3.8204237962337877,0.08070421989797395,0.005271823220721879,2.0,0.0,1.0986122886681098,0.5,0.005516873406817784,69.35551678079933,0.0,4.253561199544766,0.04410443393311618,0.006002169079859982
GHA,2008,3.9318256327243257,0.0,1.5957092304038698,0.5712541420643253,0.004297524985213893,51.404898349161414,0.0,3.959000066903847,0.06852749328527374,0.005431837512404821,2.0,0.0,1.0986122886681098,0.5,0.0055132512381908996,65.96001530713355,0.0,4.204095654782352,0.04475956891232958,0.005907603909104286
GHA,2009,0.0,0.0,0.0,0.0,0.003945182010637674,52.172788121569724,0.0,3.9735467640118407,0.06799620746044958,0.005486025318290103,2.0,0.0,1.0986122886681098,0.5,0.005504429225325682,65.2476211908583,0.0,4.193399557668593,0.044400457182457394,0.0058734379235152005
GHA,2010,1.979621206397625,0.0,1.0917961804907992,1.0,0.004135447972510577,54.15605659062399,0.0,4.010166559989266,0.06622996439894036,0.005498727637694765,2.0,0.0,1.0986122886681098,0.5,0.005343140404466183,69.57709867601076,0.0,4.256705710516562,0.04286559223275316,0.006156003852496421
