recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_in_strength_lag1,arms_tiv_out_strength_lag1,arms_tiv_dependency_balance_lag1,arms_tiv_in_concentration_lag1,arms_tiv_pagerank_lag1,bilateral_oda_in_strength_lag1,bilateral_oda_out_strength_lag1,bilateral_oda_dependency_balance_lag1,bilateral_oda_in_concentration_lag1,bilateral_oda_pagerank_lag1,colonial_tie_in_strength_lag1,colonial_tie_out_strength_lag1,colonial_tie_dependency_balance_lag1,colonial_tie_in_concentration_lag1,colonial_tie_pagerank_lag1,econ_neocol_score_in_strength_lag1,econ_neocol_score_out_strength_lag1,econ_neocol_score_dependency_balance_lag1,econ_neocol_score_in_concentration_lag1,econ_neocol_score_pagerank_lag1,arms_tiv_total_log,oda_total_log,arms_tiv_total_log_lag1,oda_total_log_lag1,econ_neocol_score_total_lag1
KHM,2007,56.0,474.98,7.290696921158873,1,0,731.692295125426,6.59536006373399,13841770.0,16.44320139014996,0.0,0.0,2.681021528714291,0.0,1.303190302984587,1.0,0.0072798661153321,48.743359050045086,0.0,3.9068769682632407,0.0587512501338954,0.0066690404318578,1.0,0.0,0.6931471805599453,1.0,0.0050371058529096,72.62479557764941,0.0,4.298981865433423,0.0509167027402007,0.0110934539203497,4.04305126783455,6.165375836541966,2.681021528714291,5.9400133455169035,7.346498295643727
KHM,2008,0.0,463.23,7.226939620298245,1,1,866.283999789749,6.764212799130411,14053479.0,16.458380538750696,0.0,0.0,4.04305126783455,0.0,1.6180113091810355,1.0,0.0043658050300305,53.487629802506234,0.0,3.9979736998054216,0.0575111072687854,0.0067335513975081,1.0,0.0,0.6931471805599453,1.0,0.0050413104165929,68.16106072774005,0.0,4.236437997998516,0.0545705986023616,0.0058746198553523,0.0,6.140380119067894,4.04305126783455,6.165375836541966,7.290696921158873
KHM,2009,4.0,482.50068,7.100990416340223,1,0,875.748936193569,6.775079447339284,14276810.0,16.474147100564853,0.0,0.0,0.0,0.0,0.0,0.0,0.0039451820106376,53.94164899036294,0.0,4.006271694602634,0.0559007318965986,0.0059185822564322,1.0,0.0,0.6931471805599453,1.0,0.0050912737304942,67.33437867464664,0.0,4.224412988031046,0.0541781833495345,0.0056841859418079,1.6094379124341003,6.181052721303942,0.0,6.140380119067894,7.226939620298245
KHM,2010,34.24,518.67,7.253866159188763,1,0,952.274616324008,6.858853455719269,14500726.0,16.48970927510291,0.0,0.0,1.6094379124341005,0.0,0.959134838920824,1.0,0.0041008777554646,54.14695914701734,0.0,4.010001606319298,0.0556932432677285,0.0062845720291548,1.0,0.0,0.6931471805599453,1.0,0.0050166946990445,67.42175380740163,0.0,4.225690812185009,0.0521990673116551,0.0059611121396737,3.562181801067979,6.25319399473728,1.6094379124341003,6.181052721303942,7.100990416340223
KHM,2011,0.0,505.01935,7.526229840829718,1,0,1088.98152823081,6.992998160650268,14722584.0,16.50489319933731,1.0,1.0,5.090308702818097,0.0,1.8066987705550193,0.5609792320777212,0.0124912767165986,51.46341001260417,0.0,3.960115974472656,0.061154629408435,0.0058598334228142,1.0,0.0,0.6931471805599453,1.0,0.0050413104165929,66.33240544998425,0.0,4.209641628192365,0.056379830463576,0.0096034897075359,0.0,6.226574909663013,3.562181801067979,6.25319399473728,7.253866159188763
KHM,2012,77.68,629.957413,7.370702579498485,1,1,1192.80263041673,7.084060968693511,14945085.0,16.519893041204913,0.0,0.0,0.0,0.0,0.0,0.0,0.0038750313176008,52.98147247822937,0.0,3.9886408854362174,0.0572050928629313,0.006391686065237,1.0,0.0,0.6931471805599453,1.0,0.0050413104165929,77.5043300408932,0.0,4.36315378302372,0.0496975438558116,0.0060260166946723,4.365388993520859,6.447238368979897,0.0,6.226574909663013,7.526229840829718
KHM,2013,68.16,536.750779,7.365658982300146,1,0,1305.6600972686,7.174464013533902,15170208.0,16.534844062502962,0.0,0.0,9.963792123141635,0.0,2.3945982183138472,0.2923595987148303,0.0080957082132783,52.81637943508309,0.0,3.985577871298328,0.0619037383902758,0.0060669609756002,1.0,0.0,0.6931471805599453,1.0,0.0050413104165929,75.36165720299552,0.0,4.335480701123302,0.0495795384857034,0.0062358715370674,4.23642266081509,6.287395216775335,4.365388993520859,6.447238368979897,7.370702579498485
KHM,2014,0.0,549.529135,7.33629381354196,1,2,1431.56396469993,7.266522807228274,15396772.0,16.54966843502292,0.0,0.0,7.095395997253691,0.0,2.091295504679711,0.5007918301391416,0.0059545903910696,50.50855181267461,0.0,3.94174784849919,0.0632500124783509,0.0058990629581153,1.0,0.0,0.6931471805599453,1.0,0.0050912737304942,75.83733278839301,0.0,4.341690626058878,0.0487382221843952,0.0060295209536053,0.0,6.310879879376264,4.23642266081509,6.287395216775335,7.365658982300146
KHM,2015,0.0,471.991099,7.220206947115738,1,0,1547.32010444393,7.344279748653593,15623251.0,16.56427081132144,0.0,0.0,0.0,0.0,0.0,0.0,0.0041243235116628,46.774648171114634,0.0,3.866495125810673,0.0705580276520743,0.0059358202528142,1.0,0.0,0.6931471805599453,1.0,0.0050912737304942,73.02601157184917,0.0,4.304416539167494,0.0509049463587103,0.006192281203834,0.0,6.159076570133051,0.0,6.310879879376264,7.33629381354196
KHM,2016,0.0,485.224553,7.097335803194553,1,0,1675.19555711109,7.42368518795844,15852803.0,16.57885688807812,0.0,0.0,0.0,0.0,0.0,0.0,0.0039812955804879,45.777047740169415,0.0,3.8453926497196873,0.0683106188157301,0.0060180312047568,1.0,0.0,0.6931471805599453,1.0,0.0050661688908087,63.09787438978465,0.0,4.160411202530998,0.0623921722135635,0.00545852654995,0.0,6.186670560401275,0.0,6.159076570133051,7.220206947115738
KHM,2017,0.0,610.856308,7.016254301353897,1,0,1826.35391688754,7.510076863232533,16073372.0,16.59267454768711,0.0,0.0,0.0,0.0,0.0,0.0,0.0039022403513636,45.70428302290001,0.0,3.843835874021883,0.0681458635802202,0.0058674785553363,1.0,0.0,0.6931471805599453,1.0,0.0050661688908087,63.655122725818,0.0,4.169067339910393,0.0600036618381728,0.0056530559230842,0.0,6.416497464094967,0.0,6.186670560401275,7.097335803194553
KHM,2018,4.65,573.277385,7.167534997778467,1,0,2036.67377566578,7.619073253998369,16274522.0,16.605111375427903,0.0,0.0,0.0,0.0,0.0,0.0,0.0039089472506015,47.79635990590946,0.0,3.887655717984954,0.0694457857409689,0.0059007468304335,1.0,0.0,0.6931471805599453,1.0,0.0051166286163375,60.644489528381875,0.0,4.121383842458618,0.0627072925019199,0.0054919663107861,1.7316555451583497,6.35311252872123,0.0,6.416497464094967,7.016254301353897
KHM,2019,0.75,658.968203,7.308473415857974,1,0,2225.87705485686,7.707906298889181,16481304.0,16.61773720552888,0.0,0.0,2.402430427963762,0.0,1.2244900080056358,0.5001763660247482,0.0042636162322577,47.26170132488684,0.0,3.8766383128885327,0.069963473929191,0.0059509456625097,1.0,0.0,0.6931471805599453,1.0,0.0051468119697274,63.9340156276659,0.0,4.173371610098045,0.0602272255230405,0.0056705834123749,0.5596157879354227,6.492191656587182,1.7316555451583497,6.35311252872123,7.167534997778467
KHM,2020,0.0,712.915092,7.324512148350705,1,0,2081.73914242939,7.64095894950458,16725474.0,16.63244350438415,0.0,0.0,0.5596157879354227,0.0,0.4444395011421503,1.0,0.0041128850225562,47.44861642498959,0.0,3.880503781169262,0.0713164082513667,0.005953307657668,1.0,0.0,0.6931471805599453,1.0,0.0051988524030504,65.00977918948666,0.0,4.189802900588081,0.0601867839421474,0.0056272464961854,0.0,6.57076403650068,0.5596157879354227,6.492191656587182,7.308473415857974
KHM,2021,35.2,1012.605966,7.293427643390725,1,0,2167.40324198499,7.681285067282272,16974305.0,16.647211288008272,0.0,0.0,0.0,0.0,0.0,0.0,0.004199790713731,49.82473113104797,0.0,3.928383069407904,0.066359362973543,0.0061037516987791,1.0,0.0,0.6931471805599453,1.0,0.0051988524030504,68.58133217838272,0.0,4.242496315536242,0.0562437081870657,0.0058575437304829,3.5890591188317256,6.921269514940673,0.0,6.57076403650068,7.324512148350705
KHM,2022,31.8,954.034483,7.470347833328314,1,0,2325.03050040841,7.75148843639064,17201724.0,16.660520169318875,0.0,0.0,5.781434634939155,0.0,1.914188677642211,0.4612771638601306,0.0051729177070333,52.60513752118953,0.0,3.981644912759432,0.0667627832008367,0.0062266915576451,1.0,0.0,0.6931471805599453,1.0,0.0050706758763225,64.4383108616933,0.0,4.1811078799456665,0.0579631246038755,0.0054804114547922,3.4904285153900982,6.86174744768226,3.5890591188317256,6.921269514940673,7.293427643390725
KHM,2023,53.8,777.100148,6.996275201624618,1,0,2429.74853452838,7.795543047246606,17423880.0,16.67335223707882,0.0,0.0,3.4904285153900982,0.0,1.5019481349263526,1.0,0.004723286660948,52.637231235621435,0.0,3.982243439549954,0.0623292822247754,0.0061047787439507,1.0,0.0,0.6931471805599453,1.0,0.0051468119697274,64.39631814504928,0.0,4.18046595940208,0.0613285350291478,0.0056931894250395,4.00369019395397,6.65685524082978,3.4904285153900982,6.86174744768226,7.470347833328314
KHM,2024,0.0,894.276923,7.05415865857776,1,1,2627.87969756224,7.873932601373376,17638801.0,16.685611635711275,0.0,0.0,4.00369019395397,0.0,1.6101756790081954,1.0,0.00473558430674,48.12619291013649,0.0,3.894392353052589,0.0683638260791645,0.0057611882273447,1.0,0.0,0.6931471805599453,1.0,0.0051727013011037,51.84560188017442,0.0,3.967374489935185,0.0704967624329989,0.005167645507605,0.0,6.797133081590275,4.00369019395397,6.65685524082978,6.996275201624618
KIR,1992,0.0,22.0,0.0,1,0,791.99610105394,6.674556468890616,77641.0,11.259850917158785,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.1354942159291497,,,
KIR,1993,0.0,11.24,0.0,1,0,747.75302075115,6.61707273728946,78841.0,11.27518844510301,0.0,0.0,0.0,0.0,0.0,0.0,0.0039885339204346,6.498112134598035,0.0,2.014651273469701,0.2912967737411125,0.0046398698774125,1.0,0.0,0.6931471805599453,1.0,0.0047883190418439,0.0,0.0,0.0,0.0,0.0048780487804878,0.0,2.50470927708418,0.0,3.1354942159291497,0.0
KIR,1994,0.0,12.53,0.0,1,0,837.971706204,6.73098433643237,80021.0,11.290044379208922,0.0,0.0,0.0,0.0,0.0,0.0,0.0037646983771436,5.022893959317837,0.0,1.795567867949074,0.2737914618917714,0.0045512254168713,1.0,0.0,0.6931471805599453,1.0,0.004699564569021,0.0,0.0,0.0,0.0,0.0047846889952153,0.0,2.604909442182697,0.0,2.50470927708418,0.0
KIR,1995,0.0,11.46,0.0,1,0,844.429605862723,6.7386613767791435,81234.0,11.305089157723168,0.0,0.0,0.0,0.0,0.0,0.0,0.00378630622791,5.333673649384523,0.0,1.8458804231680508,0.2718416757847394,0.0045491935863711,1.0,0.0,0.6931471805599453,1.0,0.0047249146156788,0.0,0.0,0.0,0.0,0.0048076923076922,0.0,2.522523513359307,0.0,2.604909442182697,0.0
