recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_stock_5yr,econ_neocol_score_mean
MUS,2020,0.0,326.729714,41.23288815550457,1,0,9135.84773751062,9.119961265547476,1266014.0,14.051383940076931,0.0,0.0,47.2,1.7927342676306335
MUS,2021,0.88,294.771207,40.592727491070775,1,0,9177.71195973013,9.124533210689158,1266334.0,14.051636669955844,0.0,0.0,19.729999999999997,1.5612587496565682
MUS,2022,4.0,41.074037,40.89304305017475,1,0,10246.5017455553,9.234691633196247,1262523.0,14.048622657787492,0.0,0.0,4.879999999999996,1.7779583934858585
MUS,2023,0.0,65.50218,35.83803362523708,1,0,11269.9684462139,9.329896807226344,1248647.0,14.03757112306055,0.0,0.0,4.879999999999996,1.791901681261854
MUS,2024,0.0,56.300863,30.448911788306983,1,0,11990.7798944837,9.391893291317684,1245779.0,14.035271595021802,0.0,0.0,4.879999999999996,1.5224455894153492
MWI,1992,0.0,213.75,0.0,1,0,258.393430877557,5.554483349284819,10135079.0,16.131513132608454,0.0,0.0,0.0,
MWI,1993,0.0,161.66,0.0,1,0,293.016883079922,5.680230228790197,10284024.0,16.146102181087482,0.0,0.0,0.0,
MWI,1994,3.64,255.27,0.0,1,0,169.196526919639,5.131060920481777,10164894.0,16.134450577051208,0.0,0.0,3.64,
MWI,1995,0.0,223.62,48.24680113983472,1,0,200.362370007247,5.300127577163952,10150117.0,16.13299579047923,0.0,0.0,3.64,2.680377841101929
MWI,1996,0.0,264.54,42.124010675123365,1,0,320.662735559137,5.770389902751362,10352228.0,16.152712320209798,0.0,0.0,3.64,2.0059052702439697
MWI,1997,0.0,175.34,42.93319517912343,1,0,366.954461274104,5.905237756633761,10562035.0,16.17277652600986,0.0,0.0,3.64,1.8666606599618882
MWI,1998,0.0,204.46,50.14677311917478,1,0,236.045479450504,5.464024495995546,10792876.0,16.194396844813475,0.0,0.0,3.64,2.1802944834423816
MWI,1999,0.0,232.45,42.03023025953912,1,0,233.935986197873,5.455047514675495,11047804.0,16.217742233146335,0.0,0.0,0.0,2.0014395361685295
MWI,2000,0.0,275.44,44.72891627991975,1,0,224.22415918428,5.412646262122045,11315942.0,16.24172308590442,0.0,0.0,0.0,2.129948394281893
MWI,2001,0.0,203.7,44.45717249482322,1,0,215.474524898357,5.372842688627247,11593058.0,16.265917028659086,0.0,0.0,0.0,2.02078056794651
MWI,2002,0.0,233.62,35.42607768186188,1,0,428.210439838398,6.059614756611291,11880440.0,16.290403908249957,0.0,0.0,0.0,1.540264247037473
MWI,2003,0.0,312.53,41.69212726302999,1,0,383.348596852642,5.948944749772933,12181574.0,16.315435040139796,0.0,0.0,0.0,1.8950966937740903
MWI,2004,0.0,312.32,39.92996269601151,1,0,404.674248445428,6.003082418637669,12500737.0,16.341298160534457,0.0,0.0,0.0,1.663748445667146
